encoder_input,decoder_input,decoder_output
"['<ko>', '[MASK]', '사카', '도', '▁역에서', '▁도', '조', '▁선', '▁하', '행을', '▁이용', '했을', '▁때', '▁갈', '▁수', '▁있는', '▁곳', '들은', '▁어디일까', '?', '▁', '</s>', '▁<', '집', '밥', '▁백', '[MASK]', '생', '>', '의', '▁진행자는', '▁누구인가', '?', '▁', '</s>', '▁비']","['<ko>', '▁기타', '사카', '도', '▁역에서', '▁도', '조', '▁선', '▁하', '행을', '▁이용', '했을', '▁때', '▁갈', '▁수', '▁있는', '▁곳', '들은', '▁어디일까', '?', '▁', '</s>', '▁<', '집', '밥', '▁백', '선', '생', '>', '의', '▁진행자는', '▁누구인가', '?', '▁', '</s>', '▁비']","['▁기타', '사카', '도', '▁역에서', '▁도', '조', '▁선', '▁하', '행을', '▁이용', '했을', '▁때', '▁갈', '▁수', '▁있는', '▁곳', '들은', '▁어디일까', '?', '▁', '</s>', '▁<', '집', '밥', '▁백', '선', '생', '>', '의', '▁진행자는', '▁누구인가', '?', '▁', '</s>', '▁비', '<ko>']"
"['<ko>', '▁모', '자이', '스크', '▁방어', '[MASK]', '[MASK]', '▁모스크', '바', '[MASK]', '▁몇', '▁킬', '로', '미터', '나', '▁떨', '어져', '▁있습니까', '?', '▁', '[MASK]', '▁김일', '윤', '은', '18', '대', '총', '선에서', '▁몇위를', '했을까', '?', '▁', '[MASK]', '▁앙', '부', '[MASK]']","['<ko>', '▁모', '자이', '스크', '▁방어', '선은', '▁러시아', '▁모스크', '바', '에서', '▁몇', '▁킬', '로', '미터', '나', '▁떨', '어져', '▁있습니까', '?', '▁', '</s>', '▁김일', '윤', '은', '18', '대', '총', '선에서', '▁몇위를', '했을까', '?', '▁', '</s>', '▁앙', '부', '일']","['▁모', '자이', '스크', '▁방어', '선은', '▁러시아', '▁모스크', '바', '에서', '▁몇', '▁킬', '로', '미터', '나', '▁떨', '어져', '▁있습니까', '?', '▁', '</s>', '▁김일', '윤', '은', '18', '대', '총', '선에서', '▁몇위를', '했을까', '?', '▁', '</s>', '▁앙', '부', '일', '<ko>']"
"['<ko>', '▁2015', '▁FIFA', '▁여자', '▁월드컵의', '▁조별', '[MASK]', '[MASK]', '[MASK]', '▁3', '위', '▁팀', '끼', '리의', '▁순위', '[MASK]', '▁중', '▁1', '승', '▁0', '무', '▁2', '패를', '▁기록한', '▁팀은', '▁어느', '▁팀인가', '?', '▁', '</s>', '▁«', '레', '[MASK]', '[MASK]', '웬', '사']","['<ko>', '▁2015', '▁FIFA', '▁여자', '▁월드컵의', '▁조별', '▁리그에서', '▁각', '▁조', '▁3', '위', '▁팀', '끼', '리의', '▁순위', '▁결정', '▁중', '▁1', '승', '▁0', '무', '▁2', '패를', '▁기록한', '▁팀은', '▁어느', '▁팀인가', '?', '▁', '</s>', '▁«', '레', '흐', '▁바', '웬', '사']","['▁2015', '▁FIFA', '▁여자', '▁월드컵의', '▁조별', '▁리그에서', '▁각', '▁조', '▁3', '위', '▁팀', '끼', '리의', '▁순위', '▁결정', '▁중', '▁1', '승', '▁0', '무', '▁2', '패를', '▁기록한', '▁팀은', '▁어느', '▁팀인가', '?', '▁', '</s>', '▁«', '레', '흐', '▁바', '웬', '사', '<ko>']"
"['<ko>', '▁긴', '다이', '치', '▁코', '스', '케', '▁시리즈에서', '▁아', '동', '[MASK]', '이나', '▁중', '절', '작품', '을', '▁제외', '하고', '▁확인', '되는', '▁장', '단', '편', '▁작품은', '▁몇', '▁작', '일까', '?', '▁', '</s>', '[MASK]', '선', '대', '원', '군이', '▁세운']","['<ko>', '▁긴', '다이', '치', '▁코', '스', '케', '▁시리즈에서', '▁아', '동', '문학', '이나', '▁중', '절', '작품', '을', '▁제외', '하고', '▁확인', '되는', '▁장', '단', '편', '▁작품은', '▁몇', '▁작', '일까', '?', '▁', '</s>', '▁흥', '선', '대', '원', '군이', '▁세운']","['▁긴', '다이', '치', '▁코', '스', '케', '▁시리즈에서', '▁아', '동', '문학', '이나', '▁중', '절', '작품', '을', '▁제외', '하고', '▁확인', '되는', '▁장', '단', '편', '▁작품은', '▁몇', '▁작', '일까', '?', '▁', '</s>', '▁흥', '선', '대', '원', '군이', '▁세운', '<ko>']"
"['<ko>', '▁목포', '과학', '대학교', '에서', '▁예', '체', '능', '▁계열', '에', '▁개설', '된', '▁학', '과의', '▁이름은', '?', '▁', '</s>', '▁중', '입', '자', '▁비', '대', '칭', '▁연구', '로', '▁받은', '▁상', '이', '▁뭐야', '?', '▁', '</s>', '▁중', '입', '자']","['<ko>', '▁목포', '과학', '대학교', '에서', '▁예', '체', '능', '▁계열', '에', '▁개설', '된', '▁학', '과의', '▁이름은', '?', '▁', '</s>', '▁중', '입', '자', '▁비', '대', '칭', '▁연구', '로', '▁받은', '▁상', '이', '▁뭐야', '?', '▁', '</s>', '▁중', '입', '자']","['▁목포', '과학', '대학교', '에서', '▁예', '체', '능', '▁계열', '에', '▁개설', '된', '▁학', '과의', '▁이름은', '?', '▁', '</s>', '▁중', '입', '자', '▁비', '대', '칭', '▁연구', '로', '▁받은', '▁상', '이', '▁뭐야', '?', '▁', '</s>', '▁중', '입', '자', '<ko>']"
"['<ko>', '▁2007', '년', '▁마쓰', '자', '카', '▁다', '이스', '케', '의', '▁평균', '▁자', '책점은', '▁몇점', '일까', '?', '[MASK]', '</s>', '▁시민', '결', '[MASK]', '▁제도를', '▁반대', '하는', '▁것은', '[MASK]', '▁위', '배', '▁되기', '[MASK]', '문', '인가', '?', '[MASK]', '</s>', '[MASK]']","['<ko>', '▁2007', '년', '▁마쓰', '자', '카', '▁다', '이스', '케', '의', '▁평균', '▁자', '책점은', '▁몇점', '일까', '?', '▁', '</s>', '▁시민', '결', '합', '▁제도를', '▁반대', '하는', '▁것은', '▁무엇에', '▁위', '배', '▁되기', '때', '문', '인가', '?', '▁', '</s>', '▁Le']","['▁2007', '년', '▁마쓰', '자', '카', '▁다', '이스', '케', '의', '▁평균', '▁자', '책점은', '▁몇점', '일까', '?', '▁', '</s>', '▁시민', '결', '합', '▁제도를', '▁반대', '하는', '▁것은', '▁무엇에', '▁위', '배', '▁되기', '때', '문', '인가', '?', '▁', '</s>', '▁Le', '<ko>']"
"['<ko>', '▁화', '력', '발', '전', '소를', '[MASK]', '하는', '▁지역', '주', '민', '들은', '▁정부의', '▁결정', '에', '▁반대', '[MASK]', '▁무엇을', '▁한다고', '▁예', '[MASK]', '했나', '[MASK]', '▁', '</s>', '▁처음으로', '▁미', '세', '[MASK]', '지', '▁경', '보를', '▁시작한', '[MASK]', '[MASK]', '[MASK]']","['<ko>', '▁화', '력', '발', '전', '소를', '▁원', '하는', '▁지역', '주', '민', '들은', '▁정부의', '▁결정', '에', '▁반대', '하며', '▁무엇을', '▁한다고', '▁예', '고', '했나', '?', '▁', '</s>', '▁처음으로', '▁미', '세', '먼', '지', '▁경', '보를', '▁시작한', '▁것은', '▁언제인가', '?']","['▁화', '력', '발', '전', '소를', '▁원', '하는', '▁지역', '주', '민', '들은', '▁정부의', '▁결정', '에', '▁반대', '하며', '▁무엇을', '▁한다고', '▁예', '고', '했나', '?', '▁', '</s>', '▁처음으로', '▁미', '세', '먼', '지', '▁경', '보를', '▁시작한', '▁것은', '▁언제인가', '?', '<ko>']"
"['<ko>', '▁오', '[MASK]', '▁노부', '나', '가의', '▁급', '한', '▁성', '격을', '▁잘', '▁나타내', '주는', '▁시', '[MASK]', '▁뭐야', '?', '▁', '[MASK]', '[MASK]', '정', '경제', '부', '▁장', '관으로', '▁신', '용', '[MASK]', '▁활', '[MASK]', '화', '▁정책을', '▁', '펴', '▁신', '용']","['<ko>', '▁오', '다', '▁노부', '나', '가의', '▁급', '한', '▁성', '격을', '▁잘', '▁나타내', '주는', '▁시', '구는', '▁뭐야', '?', '▁', '</s>', '▁재', '정', '경제', '부', '▁장', '관으로', '▁신', '용', '카드', '▁활', '성', '화', '▁정책을', '▁', '펴', '▁신', '용']","['▁오', '다', '▁노부', '나', '가의', '▁급', '한', '▁성', '격을', '▁잘', '▁나타내', '주는', '▁시', '구는', '▁뭐야', '?', '▁', '</s>', '▁재', '정', '경제', '부', '▁장', '관으로', '▁신', '용', '카드', '▁활', '성', '화', '▁정책을', '▁', '펴', '▁신', '용', '<ko>']"
"['<ko>', '▁조', '홍', '규가', '▁제', '10', '대', '▁총', '선에', '[MASK]', '하여', '▁3', '[MASK]', '▁낙', '선', '했을', '▁당시', '▁소속', '[MASK]', '▁무엇이', '었나요', '?', '[MASK]', '</s>', '▁권', '은', '희가', '[MASK]', '사', '직', '에서', '▁물', '러', '[MASK]', '▁된', '▁사건이']","['<ko>', '▁조', '홍', '규가', '▁제', '10', '대', '▁총', '선에', '▁출마', '하여', '▁3', '위로', '▁낙', '선', '했을', '▁당시', '▁소속', '▁정당은', '▁무엇이', '었나요', '?', '▁', '</s>', '▁권', '은', '희가', '▁변호', '사', '직', '에서', '▁물', '러', '나게', '▁된', '▁사건이']","['▁조', '홍', '규가', '▁제', '10', '대', '▁총', '선에', '▁출마', '하여', '▁3', '위로', '▁낙', '선', '했을', '▁당시', '▁소속', '▁정당은', '▁무엇이', '었나요', '?', '▁', '</s>', '▁권', '은', '희가', '▁변호', '사', '직', '에서', '▁물', '러', '나게', '▁된', '▁사건이', '<ko>']"
"['<ko>', '▁2007', '년', ""▁'"", '[MASK]', '▁라이트', '▁노벨', '[MASK]', '▁대', '단', '해', '!', ""'"", '▁남성', '▁등장인물', '▁부문에서', '▁10', '[MASK]', '[MASK]', '▁이', '내', '에', '▁가장', '▁많은', '▁등장인물', '을', '▁랭', '크', '에', '[MASK]', '▁작품의', '▁시리즈', '명은', '▁무엇인가', '?', '▁']","['<ko>', '▁2007', '년', ""▁'"", '이', '▁라이트', '▁노벨', '이', '▁대', '단', '해', '!', ""'"", '▁남성', '▁등장인물', '▁부문에서', '▁10', '위', '권', '▁이', '내', '에', '▁가장', '▁많은', '▁등장인물', '을', '▁랭', '크', '에', '▁올린', '▁작품의', '▁시리즈', '명은', '▁무엇인가', '?', '▁']","['▁2007', '년', ""▁'"", '이', '▁라이트', '▁노벨', '이', '▁대', '단', '해', '!', ""'"", '▁남성', '▁등장인물', '▁부문에서', '▁10', '위', '권', '▁이', '내', '에', '▁가장', '▁많은', '▁등장인물', '을', '▁랭', '크', '에', '▁올린', '▁작품의', '▁시리즈', '명은', '▁무엇인가', '?', '▁', '<ko>']"
