encoder_input,decoder_input,decoder_output
"['<de>', '▁Wie', '▁viele', '▁Bet', '[MASK]', '▁Pflanzen', '▁sind', '▁in', '▁den', '▁USA', '?', '▁', '</s>', '▁Wie', '▁heißt', '▁es', '▁in', '▁der', '▁Regel', '▁sy', 'nt', 'het', 'isches', '[MASK]', 'h', '[MASK]', '?', '▁', '</s>', '▁Wo', '▁wird', '▁das', '[MASK]', 'gebaut', '▁Bitumen', '[MASK]']","['<de>', '▁Wie', '▁viele', '▁Bet', 'on', '▁Pflanzen', '▁sind', '▁in', '▁den', '▁USA', '?', '▁', '</s>', '▁Wie', '▁heißt', '▁es', '▁in', '▁der', '▁Regel', '▁sy', 'nt', 'het', 'isches', '▁Ro', 'h', 'öl', '?', '▁', '</s>', '▁Wo', '▁wird', '▁das', '▁ab', 'gebaut', '▁Bitumen', '▁für']","['▁Wie', '▁viele', '▁Bet', 'on', '▁Pflanzen', '▁sind', '▁in', '▁den', '▁USA', '?', '▁', '</s>', '▁Wie', '▁heißt', '▁es', '▁in', '▁der', '▁Regel', '▁sy', 'nt', 'het', 'isches', '▁Ro', 'h', 'öl', '?', '▁', '</s>', '▁Wo', '▁wird', '▁das', '▁ab', 'gebaut', '▁Bitumen', '▁für', '<de>']"
"['<de>', '[MASK]', '▁gr', 'üne', '▁Technologie', '▁hat', '▁Schwarzenegger', '▁zu', '▁Hause', '▁install', 'iert', ',', '▁um', '▁seinen', '▁CO', '2', '-', 'F', 'uß', 'ab', 'druck', '▁zu', '▁reduzieren', '[MASK]', '▁', '</s>', '▁In', '▁welchem', '▁Jahr', '▁ist', '▁die', '▁Gew', 'äch', 'sh', 'aus', '-']","['<de>', '▁Welche', '▁gr', 'üne', '▁Technologie', '▁hat', '▁Schwarzenegger', '▁zu', '▁Hause', '▁install', 'iert', ',', '▁um', '▁seinen', '▁CO', '2', '-', 'F', 'uß', 'ab', 'druck', '▁zu', '▁reduzieren', '?', '▁', '</s>', '▁In', '▁welchem', '▁Jahr', '▁ist', '▁die', '▁Gew', 'äch', 'sh', 'aus', '-']","['▁Welche', '▁gr', 'üne', '▁Technologie', '▁hat', '▁Schwarzenegger', '▁zu', '▁Hause', '▁install', 'iert', ',', '▁um', '▁seinen', '▁CO', '2', '-', 'F', 'uß', 'ab', 'druck', '▁zu', '▁reduzieren', '?', '▁', '</s>', '▁In', '▁welchem', '▁Jahr', '▁ist', '▁die', '▁Gew', 'äch', 'sh', 'aus', '-', '<de>']"
"['<de>', '▁Wer', '▁war', '▁der', '▁nomin', 'alen', '▁von', '[MASK]', 'an', '▁Khan', '?', '▁', '</s>', '▁Um', '▁die', '▁Mongol', 'en', '-', 't', 'ibet', 'ische', '▁Allianz', '▁stär', 'ker', '▁zu', '▁machen', ',', '▁wer', '▁wurde', '▁der', '▁4', '▁Dalai', '▁Lama', '?', '▁', '</s>']","['<de>', '▁Wer', '▁war', '▁der', '▁nomin', 'alen', '▁von', '▁Alt', 'an', '▁Khan', '?', '▁', '</s>', '▁Um', '▁die', '▁Mongol', 'en', '-', 't', 'ibet', 'ische', '▁Allianz', '▁stär', 'ker', '▁zu', '▁machen', ',', '▁wer', '▁wurde', '▁der', '▁4', '▁Dalai', '▁Lama', '?', '▁', '</s>']","['▁Wer', '▁war', '▁der', '▁nomin', 'alen', '▁von', '▁Alt', 'an', '▁Khan', '?', '▁', '</s>', '▁Um', '▁die', '▁Mongol', 'en', '-', 't', 'ibet', 'ische', '▁Allianz', '▁stär', 'ker', '▁zu', '▁machen', ',', '▁wer', '▁wurde', '▁der', '▁4', '▁Dalai', '▁Lama', '?', '▁', '</s>', '<de>']"
"['<de>', '▁Die', '▁rad', 'ik', '[MASK]', '▁Erleuchtung', '▁wurde', '▁inspiriert', '▁von', '▁der', '▁Philosophie', '▁von', '[MASK]', '?', '▁', '</s>', '▁Welcher', '▁Auf', 'klärung', '▁hat', '▁sich', '▁für', '▁Demokrat', 'ie', ',', '▁individ', 'uelle', '▁Freiheit', ',', '▁Mein', 'ungs', 'f', 'rei', 'heit', '▁und', '▁die']","['<de>', '▁Die', '▁rad', 'ik', 'ale', '▁Erleuchtung', '▁wurde', '▁inspiriert', '▁von', '▁der', '▁Philosophie', '▁von', '▁wem', '?', '▁', '</s>', '▁Welcher', '▁Auf', 'klärung', '▁hat', '▁sich', '▁für', '▁Demokrat', 'ie', ',', '▁individ', 'uelle', '▁Freiheit', ',', '▁Mein', 'ungs', 'f', 'rei', 'heit', '▁und', '▁die']","['▁Die', '▁rad', 'ik', 'ale', '▁Erleuchtung', '▁wurde', '▁inspiriert', '▁von', '▁der', '▁Philosophie', '▁von', '▁wem', '?', '▁', '</s>', '▁Welcher', '▁Auf', 'klärung', '▁hat', '▁sich', '▁für', '▁Demokrat', 'ie', ',', '▁individ', 'uelle', '▁Freiheit', ',', '▁Mein', 'ungs', 'f', 'rei', 'heit', '▁und', '▁die', '<de>']"
"['<de>', '▁Mit', '▁der', '[MASK]', 'iven', '[MASK]', 'e', ',', '[MASK]', '▁nicht', '[MASK]', '▁t', 'oll', '▁passiert', '▁ist', ',', '▁wie', '[MASK]', 'ork', 'rieg', 's', '[MASK]', 'hers', 'agen', '▁erwartet', '?', '[MASK]', '</s>', '▁Die', '▁Leute', '▁n', '[MASK]', 'ten', '▁die', '▁Über', 'fälle']","['<de>', '▁Mit', '▁der', '▁intens', 'iven', '▁Bomb', 'e', ',', '▁was', '▁nicht', '▁so', '▁t', 'oll', '▁passiert', '▁ist', ',', '▁wie', '▁V', 'ork', 'rieg', 's', '▁Vor', 'hers', 'agen', '▁erwartet', '?', '▁', '</s>', '▁Die', '▁Leute', '▁n', 'ann', 'ten', '▁die', '▁Über', 'fälle']","['▁Mit', '▁der', '▁intens', 'iven', '▁Bomb', 'e', ',', '▁was', '▁nicht', '▁so', '▁t', 'oll', '▁passiert', '▁ist', ',', '▁wie', '▁V', 'ork', 'rieg', 's', '▁Vor', 'hers', 'agen', '▁erwartet', '?', '▁', '</s>', '▁Die', '▁Leute', '▁n', 'ann', 'ten', '▁die', '▁Über', 'fälle', '<de>']"
"['<de>', '▁Welcher', '▁Award', '-', 'Gew', 'inner', '▁ESPN', '▁Sport', '▁hat', '▁die', '▁Form', '▁byu', '▁abgeschlossen', '?', '▁', '</s>', '▁Welcher', '▁ehemalige', '▁CBS', '-', 'N', 'ews', '-', '[MASK]', 'or', 'res', 'pond', 'ent', '▁hat', '▁die', '▁byu', '▁absol', 'viert', '?', '▁', '</s>']","['<de>', '▁Welcher', '▁Award', '-', 'Gew', 'inner', '▁ESPN', '▁Sport', '▁hat', '▁die', '▁Form', '▁byu', '▁abgeschlossen', '?', '▁', '</s>', '▁Welcher', '▁ehemalige', '▁CBS', '-', 'N', 'ews', '-', 'K', 'or', 'res', 'pond', 'ent', '▁hat', '▁die', '▁byu', '▁absol', 'viert', '?', '▁', '</s>']","['▁Welcher', '▁Award', '-', 'Gew', 'inner', '▁ESPN', '▁Sport', '▁hat', '▁die', '▁Form', '▁byu', '▁abgeschlossen', '?', '▁', '</s>', '▁Welcher', '▁ehemalige', '▁CBS', '-', 'N', 'ews', '-', 'K', 'or', 'res', 'pond', 'ent', '▁hat', '▁die', '▁byu', '▁absol', 'viert', '?', '▁', '</s>', '<de>']"
"['<de>', '▁In', '▁welchem', '▁Jahr', '▁wurden', '▁englische', '▁Fußball', '-', 'Cl', '[MASK]', '▁vom', '▁Wettbewerb', '▁in', '[MASK]', '▁verb', 'annt', '?', '▁', '</s>', '▁Wie', '▁lange', '▁wurden', '[MASK]', '▁Clubs', '▁verboten', '?', '▁', '</s>', '▁Was', '▁haben', '▁englische', '▁Spieler', '▁nach', '▁dem', '▁Verb', '[MASK]']","['<de>', '▁In', '▁welchem', '▁Jahr', '▁wurden', '▁englische', '▁Fußball', '-', 'Cl', 'ubs', '▁vom', '▁Wettbewerb', '▁in', '▁Europa', '▁verb', 'annt', '?', '▁', '</s>', '▁Wie', '▁lange', '▁wurden', '▁die', '▁Clubs', '▁verboten', '?', '▁', '</s>', '▁Was', '▁haben', '▁englische', '▁Spieler', '▁nach', '▁dem', '▁Verb', 'ot']","['▁In', '▁welchem', '▁Jahr', '▁wurden', '▁englische', '▁Fußball', '-', 'Cl', 'ubs', '▁vom', '▁Wettbewerb', '▁in', '▁Europa', '▁verb', 'annt', '?', '▁', '</s>', '▁Wie', '▁lange', '▁wurden', '▁die', '▁Clubs', '▁verboten', '?', '▁', '</s>', '▁Was', '▁haben', '▁englische', '▁Spieler', '▁nach', '▁dem', '▁Verb', 'ot', '<de>']"
"['<de>', '▁Was', '▁war', '▁in', '▁der', '▁Lage', ',', '▁aus', '▁dem', '▁Tod', '▁des', '▁N', 'ahen', '▁Ost', 'ens', '▁zu', '▁ste', 'igen', '?', '▁', '</s>', '▁Was', '[MASK]', '▁eine', '▁bemerkenswerte', '▁Nation', '▁konnte', '▁aus', '▁der', '▁As', 'che', '▁des', '▁N', 'ahen', '▁Ost', 'ens']","['<de>', '▁Was', '▁war', '▁in', '▁der', '▁Lage', ',', '▁aus', '▁dem', '▁Tod', '▁des', '▁N', 'ahen', '▁Ost', 'ens', '▁zu', '▁ste', 'igen', '?', '▁', '</s>', '▁Was', '▁für', '▁eine', '▁bemerkenswerte', '▁Nation', '▁konnte', '▁aus', '▁der', '▁As', 'che', '▁des', '▁N', 'ahen', '▁Ost', 'ens']","['▁Was', '▁war', '▁in', '▁der', '▁Lage', ',', '▁aus', '▁dem', '▁Tod', '▁des', '▁N', 'ahen', '▁Ost', 'ens', '▁zu', '▁ste', 'igen', '?', '▁', '</s>', '▁Was', '▁für', '▁eine', '▁bemerkenswerte', '▁Nation', '▁konnte', '▁aus', '▁der', '▁As', 'che', '▁des', '▁N', 'ahen', '▁Ost', 'ens', '<de>']"
"['<de>', '▁Wie', '▁viele', '▁Einwohner', '▁waren', '▁in', '[MASK]', 'alia', '?', '[MASK]', '</s>', '▁Wer', '▁hat', '▁N', 'izza', '▁und', '▁Ag', 'de', '▁kontrolliert', '?', '[MASK]', '</s>', '[MASK]', 'alia', '▁war', '▁das', '▁Zentrum', '▁der', '▁Bildung', ',', '▁nach', '▁wem', '?', '[MASK]', '</s>', '▁Wer']","['<de>', '▁Wie', '▁viele', '▁Einwohner', '▁waren', '▁in', '▁Mass', 'alia', '?', '▁', '</s>', '▁Wer', '▁hat', '▁N', 'izza', '▁und', '▁Ag', 'de', '▁kontrolliert', '?', '▁', '</s>', '▁Mass', 'alia', '▁war', '▁das', '▁Zentrum', '▁der', '▁Bildung', ',', '▁nach', '▁wem', '?', '▁', '</s>', '▁Wer']","['▁Wie', '▁viele', '▁Einwohner', '▁waren', '▁in', '▁Mass', 'alia', '?', '▁', '</s>', '▁Wer', '▁hat', '▁N', 'izza', '▁und', '▁Ag', 'de', '▁kontrolliert', '?', '▁', '</s>', '▁Mass', 'alia', '▁war', '▁das', '▁Zentrum', '▁der', '▁Bildung', ',', '▁nach', '▁wem', '?', '▁', '</s>', '▁Wer', '<de>']"
"['<de>', '▁Welche', '▁revolution', '[MASK]', '[MASK]', '▁wurde', '▁von', '[MASK]', '▁Az', 'iz', '▁Sh', 'al', 'hi', '▁geleitet', '?', '▁', '</s>', '▁Als', '▁Gaddafi', '[MASK]', '▁Putsch', '▁ins', 'zen', 'iert', '▁hat', ',', '▁musste', '▁er', '▁eine', '▁große', '[MASK]', '▁von', '▁Gew', 'alt', '▁nutzen', '?']","['<de>', '▁Welche', '▁revolution', 'äre', '▁Organisation', '▁wurde', '▁von', '▁Abdul', '▁Az', 'iz', '▁Sh', 'al', 'hi', '▁geleitet', '?', '▁', '</s>', '▁Als', '▁Gaddafi', '▁seinen', '▁Putsch', '▁ins', 'zen', 'iert', '▁hat', ',', '▁musste', '▁er', '▁eine', '▁große', '▁Show', '▁von', '▁Gew', 'alt', '▁nutzen', '?']","['▁Welche', '▁revolution', 'äre', '▁Organisation', '▁wurde', '▁von', '▁Abdul', '▁Az', 'iz', '▁Sh', 'al', 'hi', '▁geleitet', '?', '▁', '</s>', '▁Als', '▁Gaddafi', '▁seinen', '▁Putsch', '▁ins', 'zen', 'iert', '▁hat', ',', '▁musste', '▁er', '▁eine', '▁große', '▁Show', '▁von', '▁Gew', 'alt', '▁nutzen', '?', '<de>']"
