target,predicted
Où se trouve le monument de la Bataille des Nations?,Où est trouve le monument- la Fatalla a a États ? ?<fr> a a ? ? ? ? ? ? ? ? ?
Le riz étuvé peut-il être utilisé dans différents types de plats?,Le combo a estik dt une une une une de ? ls ? ?<fr>ikp ? ? ? ? ?
Qual è il titolo ufficiale di Gabriele del Belgio?,Come è il nome di di Persiamar di titolo???<it>he???????????
Quante stagioni della serie TV I cavalieri di Mon sono state prodotte?,Quanti serie di serie di N N di di N Award stati vendute??<it> anni?????????
ダゴン秘密教団を一言で説明してください。,ークエ、ルのの付け 、19、にる?られる??<ja>viのミのミどのれているですか?
ما هو طول حصن دربند وما هي المواد المستخدمة لبنائه؟,ما هي الملعب شُوغ الذيون الذيغ داةونها بواسطة؟<ar> الع؟؟؟؟؟؟؟؟
في أي سنة تم إطلاق سراح المرشح؟,في أي عام تم إصدارها؟؟؟<ar>؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
映画脳内ポイズンベリーの主な俳優は誰ですか?,映画「ン「ップ・の賞を受賞したのは ? 『<ja>アリーッド映画フと言えば映画映画映画映画したと言えばと言えばと言えば誰
بأي شكل تم إنشاء مستقبل الوهم وكيف يقدم أفكاره؟,فيي من رواية تصوير في من في التي في فيُه وغانستان؟؟؟<ar> أ وح؟؟؟؟؟
In che modo La ribellione delle masse ritrae il rapporto tra individui e società?,"Quanti quale incontr ha Repubblica i "" dellaesi ha più e i e si??<it> e è??????"
Was ist die Bedeutung des Izmaylovo Estate?,"Wie ist das Haupt des Erstenatt--,,,,??<de>essw?m??????"
Come si può usare l'olio di noci in cottura?,Quanti si form due i'am in in piali? caricaonnie???<it>????????
¿Se puede usar la Montura Canon EF-S con las réflex digitales Canon de fotograma completo?,¿Los publicó el el gu- de elaictionGlam el estrellas sin sin?? chicossR?? ¿<es>
¿Cuándo se construyó la Mezquita de Aqsunqur?,¿Cuándo se publicó el serie Uquién ¿ 2011uen se? Aiénisi ¿<es>rach??zqu?
¿Puede proporcionar una breve descripción de la Mezquita de Berlin?,¿Losoró es un sola de de la NFL??ién? NFL? ¿<es>ita es?????
¿Qué tipo de contenido se puede encontrar en un archivo de texto?,¿Qué tipo de terror de encuentra en un una ciudadano de una??<es> ha es????????
Qui était l'acteur principal dans Les Invasions barbares,Qui était le’attore du de Les S ? ? ? ? ?<fr>ions ? ? ?il ? ? ? ? ? ?
