encoder_input,decoder_input,decoder_output
"['<ar>', '▁ما', '▁هو', '▁جزء', '▁من', '▁جهاز', '▁اي', '▁بود', '▁ن', '[MASK]', '▁الذي', '▁كان', '▁السبب', '▁في', '▁مشكلة', '▁فر', 'ط', '▁النشاط', '?', '▁', '</s>', '▁ما', '▁هو', '▁البرنامج', '▁الذي', '▁يسمح', '▁ل', '▁المستخدم', 'ين', '▁بت', '▁تب', 'ادل', '▁اي', '▁بود', '▁n', '[MASK]']","['<ar>', '▁ما', '▁هو', '▁جزء', '▁من', '▁جهاز', '▁اي', '▁بود', '▁ن', 'انو', '▁الذي', '▁كان', '▁السبب', '▁في', '▁مشكلة', '▁فر', 'ط', '▁النشاط', '?', '▁', '</s>', '▁ما', '▁هو', '▁البرنامج', '▁الذي', '▁يسمح', '▁ل', '▁المستخدم', 'ين', '▁بت', '▁تب', 'ادل', '▁اي', '▁بود', '▁n', 'anos']","['▁ما', '▁هو', '▁جزء', '▁من', '▁جهاز', '▁اي', '▁بود', '▁ن', 'انو', '▁الذي', '▁كان', '▁السبب', '▁في', '▁مشكلة', '▁فر', 'ط', '▁النشاط', '?', '▁', '</s>', '▁ما', '▁هو', '▁البرنامج', '▁الذي', '▁يسمح', '▁ل', '▁المستخدم', 'ين', '▁بت', '▁تب', 'ادل', '▁اي', '▁بود', '▁n', 'anos', '<ar>']"
"['<ar>', '▁ما', '[MASK]', '▁الاحداث', '▁التي', '▁تت', 'نافس', '[MASK]', '[MASK]', '▁في', '[MASK]', '▁الاولمبية', '▁الصيف', 'ية', '▁2004?', '▁', '</s>', '▁ما', '▁الذي', '▁فعله', '▁(', 'هور', 'تون', '▁هو', '[MASK]', '[MASK]', '▁', '</s>', '▁ما', '[MASK]', '▁الميد', 'الية', '▁الوحيدة', '▁التي', '▁فازت', '▁بها']","['<ar>', '▁ما', '▁هي', '▁الاحداث', '▁التي', '▁تت', 'نافس', '▁فيها', '▁برمودا', '▁في', '▁الالعاب', '▁الاولمبية', '▁الصيف', 'ية', '▁2004?', '▁', '</s>', '▁ما', '▁الذي', '▁فعله', '▁(', 'هور', 'تون', '▁هو', 'رتون', ')?', '▁', '</s>', '▁ما', '▁هي', '▁الميد', 'الية', '▁الوحيدة', '▁التي', '▁فازت', '▁بها']","['▁ما', '▁هي', '▁الاحداث', '▁التي', '▁تت', 'نافس', '▁فيها', '▁برمودا', '▁في', '▁الالعاب', '▁الاولمبية', '▁الصيف', 'ية', '▁2004?', '▁', '</s>', '▁ما', '▁الذي', '▁فعله', '▁(', 'هور', 'تون', '▁هو', 'رتون', ')?', '▁', '</s>', '▁ما', '▁هي', '▁الميد', 'الية', '▁الوحيدة', '▁التي', '▁فازت', '▁بها', '<ar>']"
"['<ar>', '▁اين', '▁توجد', '▁الالكتر', 'ونات', '▁الح', 'رة', '[MASK]', '▁انتاج', '[MASK]', 'rol', 'umin', 'esc', 'ence', '?', '▁', '</s>', '▁لماذا', '▁يتم', '▁تن', 'بع', 'ث', '▁بعض', '▁الطاقة', '[MASK]', '[MASK]', '[MASK]', 'rol', 'umin', 'esc', 'ence', '▁كال', '[MASK]', '[MASK]', '▁وال', 'ض']","['<ar>', '▁اين', '▁توجد', '▁الالكتر', 'ونات', '▁الح', 'رة', '▁في', '▁انتاج', '▁elect', 'rol', 'umin', 'esc', 'ence', '?', '▁', '</s>', '▁لماذا', '▁يتم', '▁تن', 'بع', 'ث', '▁بعض', '▁الطاقة', '▁في', '▁عملية', '▁elect', 'rol', 'umin', 'esc', 'ence', '▁كال', 'حر', 'ارة', '▁وال', 'ض']","['▁اين', '▁توجد', '▁الالكتر', 'ونات', '▁الح', 'رة', '▁في', '▁انتاج', '▁elect', 'rol', 'umin', 'esc', 'ence', '?', '▁', '</s>', '▁لماذا', '▁يتم', '▁تن', 'بع', 'ث', '▁بعض', '▁الطاقة', '▁في', '▁عملية', '▁elect', 'rol', 'umin', 'esc', 'ence', '▁كال', 'حر', 'ارة', '▁وال', 'ض', '<ar>']"
"['<ar>', '[MASK]', '[MASK]', '▁الهدف', '[MASK]', '▁فيديو', '▁اي', 'مان', '[MASK]', 'on', '?', '▁', '</s>', '[MASK]', '[MASK]', '▁اسم', '▁المجموعة', '▁التي', '▁رسم', 'ت', '▁ر', 'دود', '[MASK]', '▁المق', 'يم', '▁و', '▁معظم', '▁موظ', 'ف', 'ه', '▁فيما', '▁يتعلق', '▁بم', 'ك', 'افحة', '▁التن']","['<ar>', '▁ما', '▁هو', '▁الهدف', '▁من', '▁فيديو', '▁اي', 'مان', '▁cross', 'on', '?', '▁', '</s>', '▁ما', '▁هو', '▁اسم', '▁المجموعة', '▁التي', '▁رسم', 'ت', '▁ر', 'دود', '▁من', '▁المق', 'يم', '▁و', '▁معظم', '▁موظ', 'ف', 'ه', '▁فيما', '▁يتعلق', '▁بم', 'ك', 'افحة', '▁التن']","['▁ما', '▁هو', '▁الهدف', '▁من', '▁فيديو', '▁اي', 'مان', '▁cross', 'on', '?', '▁', '</s>', '▁ما', '▁هو', '▁اسم', '▁المجموعة', '▁التي', '▁رسم', 'ت', '▁ر', 'دود', '▁من', '▁المق', 'يم', '▁و', '▁معظم', '▁موظ', 'ف', 'ه', '▁فيما', '▁يتعلق', '▁بم', 'ك', 'افحة', '▁التن', '<ar>']"
"['<ar>', '▁ما', '▁هو', '▁تاثير', '▁la', 'ur', 'uss', '[MASK]', '▁الذي', '▁يؤثر', '▁على', 'د', 'وان', 'ا', '▁في', '▁امريكا', '[MASK]', '?', '▁', '</s>', '▁الجبال', '▁التي', '▁تشكل', '▁الى', '▁الجنوب', '▁الغربي', '▁من', '▁ال', '▁الا', 'تش', 'ي', '▁في', '▁الكرب', 'وني', '▁تعرف', '▁باسم']","['<ar>', '▁ما', '▁هو', '▁تاثير', '▁la', 'ur', 'uss', 'ia', '▁الذي', '▁يؤثر', '▁على', 'د', 'وان', 'ا', '▁في', '▁امريكا', '▁الشمالية', '?', '▁', '</s>', '▁الجبال', '▁التي', '▁تشكل', '▁الى', '▁الجنوب', '▁الغربي', '▁من', '▁ال', '▁الا', 'تش', 'ي', '▁في', '▁الكرب', 'وني', '▁تعرف', '▁باسم']","['▁ما', '▁هو', '▁تاثير', '▁la', 'ur', 'uss', 'ia', '▁الذي', '▁يؤثر', '▁على', 'د', 'وان', 'ا', '▁في', '▁امريكا', '▁الشمالية', '?', '▁', '</s>', '▁الجبال', '▁التي', '▁تشكل', '▁الى', '▁الجنوب', '▁الغربي', '▁من', '▁ال', '▁الا', 'تش', 'ي', '▁في', '▁الكرب', 'وني', '▁تعرف', '▁باسم', '<ar>']"
"['<ar>', '▁من', '▁هو', '▁اكبر', '▁منافس', '▁ل', 'نا', 'دي', '▁ايفرتون', '▁لكرة', '▁القدم', '[MASK]', '▁', '</s>', '▁ما', '▁هو', '▁الدي', 'ربي', '▁الذي', '▁يفعله', '[MASK]', '▁ايفرتون', '[MASK]', '▁ليف', 'ربول', '[MASK]', '▁', '</s>', '▁في', '▁اي', '▁عام', '▁تم', '▁انشاء', '[MASK]', '▁ليف', 'ربول']","['<ar>', '▁من', '▁هو', '▁اكبر', '▁منافس', '▁ل', 'نا', 'دي', '▁ايفرتون', '▁لكرة', '▁القدم', '?', '▁', '</s>', '▁ما', '▁هو', '▁الدي', 'ربي', '▁الذي', '▁يفعله', '▁نادي', '▁ايفرتون', '▁ضد', '▁ليف', 'ربول', '?', '▁', '</s>', '▁في', '▁اي', '▁عام', '▁تم', '▁انشاء', '▁نادي', '▁ليف', 'ربول']","['▁من', '▁هو', '▁اكبر', '▁منافس', '▁ل', 'نا', 'دي', '▁ايفرتون', '▁لكرة', '▁القدم', '?', '▁', '</s>', '▁ما', '▁هو', '▁الدي', 'ربي', '▁الذي', '▁يفعله', '▁نادي', '▁ايفرتون', '▁ضد', '▁ليف', 'ربول', '?', '▁', '</s>', '▁في', '▁اي', '▁عام', '▁تم', '▁انشاء', '▁نادي', '▁ليف', 'ربول', '<ar>']"
"['<ar>', '[MASK]', '[MASK]', '▁وافقت', '▁ديل', '▁على', '▁عدم', '▁شراء', '▁مع', 'ال', '[MASK]', '[MASK]', '[MASK]', '▁', '[MASK]', '▁كم', '▁دفع', 'ت', '▁ديل', '▁غ', 'رام', 'ات', '▁لتس', 'وية', '▁رس', 'وم', '▁الاحت', 'يال', '▁ضد', '[MASK]', '[MASK]', '▁', '[MASK]', '[MASK]', '▁هو', '▁العقد']","['<ar>', '▁من', '▁الذي', '▁وافقت', '▁ديل', '▁على', '▁عدم', '▁شراء', '▁مع', 'ال', 'جات', '▁من', '?', '▁', '</s>', '▁كم', '▁دفع', 'ت', '▁ديل', '▁غ', 'رام', 'ات', '▁لتس', 'وية', '▁رس', 'وم', '▁الاحت', 'يال', '▁ضد', 'ها', '?', '▁', '</s>', '▁ما', '▁هو', '▁العقد']","['▁من', '▁الذي', '▁وافقت', '▁ديل', '▁على', '▁عدم', '▁شراء', '▁مع', 'ال', 'جات', '▁من', '?', '▁', '</s>', '▁كم', '▁دفع', 'ت', '▁ديل', '▁غ', 'رام', 'ات', '▁لتس', 'وية', '▁رس', 'وم', '▁الاحت', 'يال', '▁ضد', 'ها', '?', '▁', '</s>', '▁ما', '▁هو', '▁العقد', '<ar>']"
"['<ar>', '▁ما', '▁هي', '[MASK]', '▁التي', '▁س', 'ح', '[MASK]', '[MASK]', '▁الاي', '▁بود', '▁بسبب', '▁مستويات', '[MASK]', '▁اعلى', '▁من', '▁الم', 'سم', 'وح', '▁بها', '?', '▁', '</s>', '▁ما', '▁هو', '[MASK]', '[MASK]', '▁من', '▁الاتصال', '▁المستخدم', '▁من', '▁قبل', '▁بود', '▁لش', 'حن', '▁ون']","['<ar>', '▁ما', '▁هي', '▁الدولة', '▁التي', '▁س', 'ح', 'بت', '▁اجهزة', '▁الاي', '▁بود', '▁بسبب', '▁مستويات', '▁الصوت', '▁اعلى', '▁من', '▁الم', 'سم', 'وح', '▁بها', '?', '▁', '</s>', '▁ما', '▁هو', '▁النوع', '▁الاول', '▁من', '▁الاتصال', '▁المستخدم', '▁من', '▁قبل', '▁بود', '▁لش', 'حن', '▁ون']","['▁ما', '▁هي', '▁الدولة', '▁التي', '▁س', 'ح', 'بت', '▁اجهزة', '▁الاي', '▁بود', '▁بسبب', '▁مستويات', '▁الصوت', '▁اعلى', '▁من', '▁الم', 'سم', 'وح', '▁بها', '?', '▁', '</s>', '▁ما', '▁هو', '▁النوع', '▁الاول', '▁من', '▁الاتصال', '▁المستخدم', '▁من', '▁قبل', '▁بود', '▁لش', 'حن', '▁ون', '<ar>']"
"['<ar>', '▁وب', 'ما', '▁انها', '▁تت', 'علق', '▁بج', 'رائم', '▁العن', '[MASK]', '▁ضد', '▁الجم', 'اعات', '▁المست', 'هد', '[MASK]', ',', '▁ما', '▁هو', '▁الدا', 'فع', '▁النهائي', '[MASK]', '[MASK]', '▁اعمال', '▁الابادة', '▁الجماعية', '?', '▁', '</s>', '▁-', '▁وقد', '▁شاركت', '▁ع', 'دة', '▁لاع']","['<ar>', '▁وب', 'ما', '▁انها', '▁تت', 'علق', '▁بج', 'رائم', '▁العن', 'ف', '▁ضد', '▁الجم', 'اعات', '▁المست', 'هد', 'فة', ',', '▁ما', '▁هو', '▁الدا', 'فع', '▁النهائي', '▁في', '▁اطار', '▁اعمال', '▁الابادة', '▁الجماعية', '?', '▁', '</s>', '▁-', '▁وقد', '▁شاركت', '▁ع', 'دة', '▁لاع']","['▁وب', 'ما', '▁انها', '▁تت', 'علق', '▁بج', 'رائم', '▁العن', 'ف', '▁ضد', '▁الجم', 'اعات', '▁المست', 'هد', 'فة', ',', '▁ما', '▁هو', '▁الدا', 'فع', '▁النهائي', '▁في', '▁اطار', '▁اعمال', '▁الابادة', '▁الجماعية', '?', '▁', '</s>', '▁-', '▁وقد', '▁شاركت', '▁ع', 'دة', '▁لاع', '<ar>']"
"['<ar>', '▁ماذا', '▁ق', 'الي', 'كن', '▁س', 'ار', 'كر', '▁عن', '▁مبنى', '▁ا', 'مة', '▁(', '?', '▁', '[MASK]', '▁من', '▁الذي', '▁جعل', '▁ال', '▁(', 'راث', ')', '▁قوة', '▁ق', 'وية', '?', '▁', '[MASK]', '▁متى', '[MASK]', '[MASK]', '▁مر', 'ثا', '▁امبراطورية', '?']","['<ar>', '▁ماذا', '▁ق', 'الي', 'كن', '▁س', 'ار', 'كر', '▁عن', '▁مبنى', '▁ا', 'مة', '▁(', '?', '▁', '</s>', '▁من', '▁الذي', '▁جعل', '▁ال', '▁(', 'راث', ')', '▁قوة', '▁ق', 'وية', '?', '▁', '</s>', '▁متى', '▁اصبحت', '▁مملكة', '▁مر', 'ثا', '▁امبراطورية', '?']","['▁ماذا', '▁ق', 'الي', 'كن', '▁س', 'ار', 'كر', '▁عن', '▁مبنى', '▁ا', 'مة', '▁(', '?', '▁', '</s>', '▁من', '▁الذي', '▁جعل', '▁ال', '▁(', 'راث', ')', '▁قوة', '▁ق', 'وية', '?', '▁', '</s>', '▁متى', '▁اصبحت', '▁مملكة', '▁مر', 'ثا', '▁امبراطورية', '?', '<ar>']"
