encoder_input,decoder_input,decoder_output
"['<tr>', '▁Ar', 'cher', '▁dizisi', '[MASK]', '▁yıld', '[MASK]', '▁yayınlanmaya', '▁başladı', '?', '▁', '[MASK]', '▁Ar', 'cher', '▁dizisinde', '▁kimler', '▁rol', '▁alıyor', '?', '▁', '[MASK]', '▁B', 'ung', 'ou', '[MASK]', '[MASK]', '[MASK]', '▁dizisi', '[MASK]', '▁kı', 's', 'aca', '▁bilgi', '▁verebilir', '▁misiniz', '?']","['<tr>', '▁Ar', 'cher', '▁dizisi', '▁hangi', '▁yıld', 'a', '▁yayınlanmaya', '▁başladı', '?', '▁', '</s>', '▁Ar', 'cher', '▁dizisinde', '▁kimler', '▁rol', '▁alıyor', '?', '▁', '</s>', '▁B', 'ung', 'ou', '▁Stra', 'y', '▁Dogs', '▁dizisi', '▁hakkında', '▁kı', 's', 'aca', '▁bilgi', '▁verebilir', '▁misiniz', '?']","['▁Ar', 'cher', '▁dizisi', '▁hangi', '▁yıld', 'a', '▁yayınlanmaya', '▁başladı', '?', '▁', '</s>', '▁Ar', 'cher', '▁dizisinde', '▁kimler', '▁rol', '▁alıyor', '?', '▁', '</s>', '▁B', 'ung', 'ou', '▁Stra', 'y', '▁Dogs', '▁dizisi', '▁hakkında', '▁kı', 's', 'aca', '▁bilgi', '▁verebilir', '▁misiniz', '?', '<tr>']"
"['<tr>', '▁Land', '▁of', '▁the', '[MASK]', '▁filminin', '▁türü', '▁nedir', '?', '[MASK]', '[MASK]', '▁Land', '▁of', '▁the', '[MASK]', '▁filminin', '▁IMDb', '▁puanı', '▁kaç', '?', '[MASK]', '[MASK]', '[MASK]', 'rest', '▁G', 'ump', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '[MASK]', '[MASK]', '[MASK]', 'rest', '▁G']","['<tr>', '▁Land', '▁of', '▁the', '▁Lost', '▁filminin', '▁türü', '▁nedir', '?', '▁', '</s>', '▁Land', '▁of', '▁the', '▁Lost', '▁filminin', '▁IMDb', '▁puanı', '▁kaç', '?', '▁', '</s>', '▁For', 'rest', '▁G', 'ump', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁For', 'rest', '▁G']","['▁Land', '▁of', '▁the', '▁Lost', '▁filminin', '▁türü', '▁nedir', '?', '▁', '</s>', '▁Land', '▁of', '▁the', '▁Lost', '▁filminin', '▁IMDb', '▁puanı', '▁kaç', '?', '▁', '</s>', '▁For', 'rest', '▁G', 'ump', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁For', 'rest', '▁G', '<tr>']"
"['<tr>', '[MASK]', '▁filminde', '▁oy', 'n', 'ayan', '▁oyuncular', '▁kimlerdir', '?', '[MASK]', '</s>', '[MASK]', '▁filmi', '▁ne', '▁zaman', '▁yayınlandı', '?', '[MASK]', '</s>', '[MASK]', '[MASK]', '▁IMDb', '▁puanı', '▁nedir', '?', '[MASK]', '</s>', '▁An', '▁American', '▁T', 'ail', '[MASK]', '▁konusu', '▁nedir', '?', '[MASK]']","['<tr>', '▁Underground', '▁filminde', '▁oy', 'n', 'ayan', '▁oyuncular', '▁kimlerdir', '?', '▁', '</s>', '▁Underground', '▁filmi', '▁ne', '▁zaman', '▁yayınlandı', '?', '▁', '</s>', '▁Underground', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁An', '▁American', '▁T', 'ail', '▁filminin', '▁konusu', '▁nedir', '?', '▁']","['▁Underground', '▁filminde', '▁oy', 'n', 'ayan', '▁oyuncular', '▁kimlerdir', '?', '▁', '</s>', '▁Underground', '▁filmi', '▁ne', '▁zaman', '▁yayınlandı', '?', '▁', '</s>', '▁Underground', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁An', '▁American', '▁T', 'ail', '▁filminin', '▁konusu', '▁nedir', '?', '▁', '<tr>']"
"['<tr>', '▁Con', 'ta', 'ct', '▁filminin', '▁IMDb', '[MASK]', '▁nedir', '?', '▁', '[MASK]', '▁D', 'umb', '▁and', '▁D', 'umber', '▁filminin', '▁konusu', '▁nedir', '?', '▁', '[MASK]', '▁D', 'umb', '▁and', '▁D', 'umber', '▁filminin', '[MASK]', '▁kimlerdir', '?', '▁', '[MASK]', '▁D', 'umb', '▁and']","['<tr>', '▁Con', 'ta', 'ct', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁D', 'umb', '▁and', '▁D', 'umber', '▁filminin', '▁konusu', '▁nedir', '?', '▁', '</s>', '▁D', 'umb', '▁and', '▁D', 'umber', '▁filminin', '▁yönetmenleri', '▁kimlerdir', '?', '▁', '</s>', '▁D', 'umb', '▁and']","['▁Con', 'ta', 'ct', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁D', 'umb', '▁and', '▁D', 'umber', '▁filminin', '▁konusu', '▁nedir', '?', '▁', '</s>', '▁D', 'umb', '▁and', '▁D', 'umber', '▁filminin', '▁yönetmenleri', '▁kimlerdir', '?', '▁', '</s>', '▁D', 'umb', '▁and', '<tr>']"
"['<tr>', '▁Jack', 'ie', '▁Chan', '▁Adventures', '▁dizisinde', '▁hangi', '▁oyuncular', '▁yer', '▁alıyor', '?', '[MASK]', '</s>', '[MASK]', '▁Fighter', ':', '▁Assassin', ""'"", '[MASK]', '▁F', 'ist', '[MASK]', '[MASK]', '▁nelerdir', '?', '[MASK]', '</s>', '[MASK]', '▁Fighter', ':', '▁Assassin', ""'"", '[MASK]', '▁F', 'ist', '[MASK]']","['<tr>', '▁Jack', 'ie', '▁Chan', '▁Adventures', '▁dizisinde', '▁hangi', '▁oyuncular', '▁yer', '▁alıyor', '?', '▁', '</s>', '▁Street', '▁Fighter', ':', '▁Assassin', ""'"", 's', '▁F', 'ist', '▁dizisinin', '▁türleri', '▁nelerdir', '?', '▁', '</s>', '▁Street', '▁Fighter', ':', '▁Assassin', ""'"", 's', '▁F', 'ist', '▁dizisinin']","['▁Jack', 'ie', '▁Chan', '▁Adventures', '▁dizisinde', '▁hangi', '▁oyuncular', '▁yer', '▁alıyor', '?', '▁', '</s>', '▁Street', '▁Fighter', ':', '▁Assassin', ""'"", 's', '▁F', 'ist', '▁dizisinin', '▁türleri', '▁nelerdir', '?', '▁', '</s>', '▁Street', '▁Fighter', ':', '▁Assassin', ""'"", 's', '▁F', 'ist', '▁dizisinin', '<tr>']"
"['<tr>', '[MASK]', 'per', '▁St', '[MASK]', 'per', '[MASK]', '▁hangi', '▁aktörler', '▁rol', '[MASK]', '?', '▁', '</s>', '[MASK]', 'per', '▁St', '[MASK]', 'per', '▁filminin', '[MASK]', '▁kim', '?', '▁', '</s>', '[MASK]', 'per', '▁St', '[MASK]', 'per', '▁filminin', '▁türleri', '[MASK]', '?', '▁', '</s>']","['<tr>', '▁Rom', 'per', '▁St', 'om', 'per', '▁filminde', '▁hangi', '▁aktörler', '▁rol', '▁alıyor', '?', '▁', '</s>', '▁Rom', 'per', '▁St', 'om', 'per', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '▁Rom', 'per', '▁St', 'om', 'per', '▁filminin', '▁türleri', '▁nelerdir', '?', '▁', '</s>']","['▁Rom', 'per', '▁St', 'om', 'per', '▁filminde', '▁hangi', '▁aktörler', '▁rol', '▁alıyor', '?', '▁', '</s>', '▁Rom', 'per', '▁St', 'om', 'per', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '▁Rom', 'per', '▁St', 'om', 'per', '▁filminin', '▁türleri', '▁nelerdir', '?', '▁', '</s>', '<tr>']"
"['<tr>', '▁The', '▁Ch', 'angel', 'ing', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '[MASK]', '</s>', '▁Young', '▁Guns', '▁filminin', '▁türleri', '▁nelerdir', '?', '[MASK]', '</s>', '▁Young', '▁Guns', '▁filminin', '[MASK]', '▁kim', '?', '[MASK]', '</s>', '▁Young', '▁Guns', '▁filminde', '▁hangi', '▁oyuncular', '▁rol', '▁alıyor', '?']","['<tr>', '▁The', '▁Ch', 'angel', 'ing', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁Young', '▁Guns', '▁filminin', '▁türleri', '▁nelerdir', '?', '▁', '</s>', '▁Young', '▁Guns', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '▁Young', '▁Guns', '▁filminde', '▁hangi', '▁oyuncular', '▁rol', '▁alıyor', '?']","['▁The', '▁Ch', 'angel', 'ing', '▁filminin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁Young', '▁Guns', '▁filminin', '▁türleri', '▁nelerdir', '?', '▁', '</s>', '▁Young', '▁Guns', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '▁Young', '▁Guns', '▁filminde', '▁hangi', '▁oyuncular', '▁rol', '▁alıyor', '?', '<tr>']"
"['<tr>', '[MASK]', '[MASK]', '[MASK]', 'O', 'ver', '▁filminin', '▁IMDb', '▁puanı', '▁kaç', '?', '▁', '</s>', '[MASK]', '▁War', '▁of', '▁the', '▁Roses', '[MASK]', '▁konu', '▁ne', '?', '▁', '</s>', '[MASK]', '▁War', '▁of', '▁the', '▁Roses', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '[MASK]']","['<tr>', '▁The', '▁Do', '-', 'O', 'ver', '▁filminin', '▁IMDb', '▁puanı', '▁kaç', '?', '▁', '</s>', '▁The', '▁War', '▁of', '▁the', '▁Roses', '▁filminde', '▁konu', '▁ne', '?', '▁', '</s>', '▁The', '▁War', '▁of', '▁the', '▁Roses', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '▁The']","['▁The', '▁Do', '-', 'O', 'ver', '▁filminin', '▁IMDb', '▁puanı', '▁kaç', '?', '▁', '</s>', '▁The', '▁War', '▁of', '▁the', '▁Roses', '▁filminde', '▁konu', '▁ne', '?', '▁', '</s>', '▁The', '▁War', '▁of', '▁the', '▁Roses', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '▁The', '<tr>']"
"['<tr>', '[MASK]', '▁Dec', 'ision', '▁filminde', '▁hangi', '▁oyuncular', '▁rol', '▁alıyor', '?', '▁', '</s>', '[MASK]', '▁Dec', 'ision', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '[MASK]', '▁Dec', 'ision', '▁filminin', '▁türleri', '▁nelerdir', '?', '▁', '</s>', '[MASK]', '▁Dec', 'ision', '▁filminin', '▁IMDb', '▁puanı']","['<tr>', '▁Executive', '▁Dec', 'ision', '▁filminde', '▁hangi', '▁oyuncular', '▁rol', '▁alıyor', '?', '▁', '</s>', '▁Executive', '▁Dec', 'ision', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '▁Executive', '▁Dec', 'ision', '▁filminin', '▁türleri', '▁nelerdir', '?', '▁', '</s>', '▁Executive', '▁Dec', 'ision', '▁filminin', '▁IMDb', '▁puanı']","['▁Executive', '▁Dec', 'ision', '▁filminde', '▁hangi', '▁oyuncular', '▁rol', '▁alıyor', '?', '▁', '</s>', '▁Executive', '▁Dec', 'ision', '▁filminin', '▁yönetmeni', '▁kim', '?', '▁', '</s>', '▁Executive', '▁Dec', 'ision', '▁filminin', '▁türleri', '▁nelerdir', '?', '▁', '</s>', '▁Executive', '▁Dec', 'ision', '▁filminin', '▁IMDb', '▁puanı', '<tr>']"
"['<tr>', '▁G', 'ho', '[MASK]', '▁dizisinin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁G', 'ho', '[MASK]', '▁dizisinde', '▁hangi', '▁oyuncular', '▁rol', '[MASK]', '?', '▁', '</s>', '[MASK]', '▁of', '▁King', '[MASK]', 'own', '▁dizisi', '▁ne', '▁hakkında', '?', '▁', '</s>', '[MASK]', '▁of', '▁King']","['<tr>', '▁G', 'ho', 'ul', '▁dizisinin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁G', 'ho', 'ul', '▁dizisinde', '▁hangi', '▁oyuncular', '▁rol', '▁alıyor', '?', '▁', '</s>', '▁Mayor', '▁of', '▁King', 'st', 'own', '▁dizisi', '▁ne', '▁hakkında', '?', '▁', '</s>', '▁Mayor', '▁of', '▁King']","['▁G', 'ho', 'ul', '▁dizisinin', '▁IMDb', '▁puanı', '▁nedir', '?', '▁', '</s>', '▁G', 'ho', 'ul', '▁dizisinde', '▁hangi', '▁oyuncular', '▁rol', '▁alıyor', '?', '▁', '</s>', '▁Mayor', '▁of', '▁King', 'st', 'own', '▁dizisi', '▁ne', '▁hakkında', '?', '▁', '</s>', '▁Mayor', '▁of', '▁King', '<tr>']"
