encoder_input,decoder_input,decoder_output
"['<en>', '[MASK]', '▁what', '▁clan', '▁is', '▁the', '▁Ab', 'ga', 'al', '▁a', '▁sub', '-', 'cl', 'an', '?', '▁', '</s>', '▁What', '▁practice', '▁is', '▁often', '▁used', '▁to', '▁b', 'ind', '▁different', '▁cl', 'ans', '▁together', '?', '▁', '</s>', '▁According', '▁to', '▁a', '▁recent']","['<en>', '▁Of', '▁what', '▁clan', '▁is', '▁the', '▁Ab', 'ga', 'al', '▁a', '▁sub', '-', 'cl', 'an', '?', '▁', '</s>', '▁What', '▁practice', '▁is', '▁often', '▁used', '▁to', '▁b', 'ind', '▁different', '▁cl', 'ans', '▁together', '?', '▁', '</s>', '▁According', '▁to', '▁a', '▁recent']","['▁Of', '▁what', '▁clan', '▁is', '▁the', '▁Ab', 'ga', 'al', '▁a', '▁sub', '-', 'cl', 'an', '?', '▁', '</s>', '▁What', '▁practice', '▁is', '▁often', '▁used', '▁to', '▁b', 'ind', '▁different', '▁cl', 'ans', '▁together', '?', '▁', '</s>', '▁According', '▁to', '▁a', '▁recent', '<en>']"
"['<en>', '[MASK]', 'ollow', 'ing', '▁Alber', 'ts', '▁death', ',', '▁what', '▁was', '▁the', '[MASK]', '▁year', '▁that', '▁Victoria', '▁attended', '▁the', '[MASK]', '▁opening', '▁of', '▁Par', 'l', 'iment', '?', '▁', '[MASK]', '▁Who', '▁replaced', '▁Derby', '▁after', '▁his', '[MASK]', 'ation', '?', '▁', '[MASK]']","['<en>', '▁F', 'ollow', 'ing', '▁Alber', 'ts', '▁death', ',', '▁what', '▁was', '▁the', '▁first', '▁year', '▁that', '▁Victoria', '▁attended', '▁the', '▁State', '▁opening', '▁of', '▁Par', 'l', 'iment', '?', '▁', '</s>', '▁Who', '▁replaced', '▁Derby', '▁after', '▁his', '▁resign', 'ation', '?', '▁', '</s>']","['▁F', 'ollow', 'ing', '▁Alber', 'ts', '▁death', ',', '▁what', '▁was', '▁the', '▁first', '▁year', '▁that', '▁Victoria', '▁attended', '▁the', '▁State', '▁opening', '▁of', '▁Par', 'l', 'iment', '?', '▁', '</s>', '▁Who', '▁replaced', '▁Derby', '▁after', '▁his', '▁resign', 'ation', '?', '▁', '</s>', '<en>']"
"['<en>', '▁S', 'alt', 'pet', 're', '▁was', '▁used', '▁for', '▁what', '▁people', ',', '▁specifically', '▁the', '▁need', '▁for', '[MASK]', '▁product', '▁had', '▁people', '▁over', 'lo', 'ok', 'ing', '▁un', 'ta', 'x', 'ed', '▁sales', '?', '▁', '</s>', '▁One', '▁of', '▁the', '▁governor', '▁of']","['<en>', '▁S', 'alt', 'pet', 're', '▁was', '▁used', '▁for', '▁what', '▁people', ',', '▁specifically', '▁the', '▁need', '▁for', '▁this', '▁product', '▁had', '▁people', '▁over', 'lo', 'ok', 'ing', '▁un', 'ta', 'x', 'ed', '▁sales', '?', '▁', '</s>', '▁One', '▁of', '▁the', '▁governor', '▁of']","['▁S', 'alt', 'pet', 're', '▁was', '▁used', '▁for', '▁what', '▁people', ',', '▁specifically', '▁the', '▁need', '▁for', '▁this', '▁product', '▁had', '▁people', '▁over', 'lo', 'ok', 'ing', '▁un', 'ta', 'x', 'ed', '▁sales', '?', '▁', '</s>', '▁One', '▁of', '▁the', '▁governor', '▁of', '<en>']"
"['<en>', '▁Cl', '[MASK]', '▁that', '[MASK]', '▁too', '▁she', 'er', '▁will', '▁offer', '▁less', '▁what', '?', '▁', '[MASK]', '▁What', '[MASK]', '▁of', '▁ha', 'z', 'ard', '[MASK]', '[MASK]', 'x', 'ious', '▁chemical', 's', '?', '▁', '[MASK]', '▁What', '[MASK]', '▁of', '▁clothing', '▁do', '▁do']","['<en>', '▁Cl', 'othing', '▁that', '▁is', '▁too', '▁she', 'er', '▁will', '▁offer', '▁less', '▁what', '?', '▁', '</s>', '▁What', '▁type', '▁of', '▁ha', 'z', 'ard', '▁is', '▁no', 'x', 'ious', '▁chemical', 's', '?', '▁', '</s>', '▁What', '▁type', '▁of', '▁clothing', '▁do', '▁do']","['▁Cl', 'othing', '▁that', '▁is', '▁too', '▁she', 'er', '▁will', '▁offer', '▁less', '▁what', '?', '▁', '</s>', '▁What', '▁type', '▁of', '▁ha', 'z', 'ard', '▁is', '▁no', 'x', 'ious', '▁chemical', 's', '?', '▁', '</s>', '▁What', '▁type', '▁of', '▁clothing', '▁do', '▁do', '<en>']"
"['<en>', '▁When', '▁were', '[MASK]', '▁techn', 'ical', '▁rules', '▁for', '[MASK]', '▁Jap', 'ans', 'es', '▁version', '▁of', '▁men', ""'"", 's', '▁rhythm', 'ic', '▁gymn', 'ast', 'ics', '▁formed', '?', '▁', '</s>', '[MASK]', '▁many', '▁appar', 'at', 'uses', '▁are', '▁used', '?', '▁', '</s>']","['<en>', '▁When', '▁were', '▁the', '▁techn', 'ical', '▁rules', '▁for', '▁the', '▁Jap', 'ans', 'es', '▁version', '▁of', '▁men', ""'"", 's', '▁rhythm', 'ic', '▁gymn', 'ast', 'ics', '▁formed', '?', '▁', '</s>', '▁How', '▁many', '▁appar', 'at', 'uses', '▁are', '▁used', '?', '▁', '</s>']","['▁When', '▁were', '▁the', '▁techn', 'ical', '▁rules', '▁for', '▁the', '▁Jap', 'ans', 'es', '▁version', '▁of', '▁men', ""'"", 's', '▁rhythm', 'ic', '▁gymn', 'ast', 'ics', '▁formed', '?', '▁', '</s>', '▁How', '▁many', '▁appar', 'at', 'uses', '▁are', '▁used', '?', '▁', '</s>', '<en>']"
"['<en>', '[MASK]', '▁founded', '[MASK]', '▁PA', 'SO', 'K', '?', '▁', '</s>', '▁What', '▁does', '▁PA', 'SO', 'K', '[MASK]', '[MASK]', '?', '▁', '</s>', '▁In', '▁what', '▁year', '▁did', '▁Greece', '▁rejo', 'in', '▁NATO', '?', '▁', '</s>', '▁Earth', 'qu', 'akes', '▁hit', '▁both']","['<en>', '▁Who', '▁founded', '▁the', '▁PA', 'SO', 'K', '?', '▁', '</s>', '▁What', '▁does', '▁PA', 'SO', 'K', '▁stand', '▁for', '?', '▁', '</s>', '▁In', '▁what', '▁year', '▁did', '▁Greece', '▁rejo', 'in', '▁NATO', '?', '▁', '</s>', '▁Earth', 'qu', 'akes', '▁hit', '▁both']","['▁Who', '▁founded', '▁the', '▁PA', 'SO', 'K', '?', '▁', '</s>', '▁What', '▁does', '▁PA', 'SO', 'K', '▁stand', '▁for', '?', '▁', '</s>', '▁In', '▁what', '▁year', '▁did', '▁Greece', '▁rejo', 'in', '▁NATO', '?', '▁', '</s>', '▁Earth', 'qu', 'akes', '▁hit', '▁both', '<en>']"
"['<en>', '▁What', '▁is', '[MASK]', '▁that', '▁may', '▁alter', '▁the', '[MASK]', '▁meaning', '▁of', '▁a', '▁message', '?', '▁', '[MASK]', '▁What', '▁is', '[MASK]', '▁that', '▁may', '▁cause', '▁the', '[MASK]', 'ception', '▁and', '▁dec', '[MASK]', 'ing', '▁of', '▁the', '▁content', '▁of', '▁a', '▁message', '▁to']","['<en>', '▁What', '▁is', '▁something', '▁that', '▁may', '▁alter', '▁the', '▁intended', '▁meaning', '▁of', '▁a', '▁message', '?', '▁', '</s>', '▁What', '▁is', '▁something', '▁that', '▁may', '▁cause', '▁the', '▁re', 'ception', '▁and', '▁dec', 'od', 'ing', '▁of', '▁the', '▁content', '▁of', '▁a', '▁message', '▁to']","['▁What', '▁is', '▁something', '▁that', '▁may', '▁alter', '▁the', '▁intended', '▁meaning', '▁of', '▁a', '▁message', '?', '▁', '</s>', '▁What', '▁is', '▁something', '▁that', '▁may', '▁cause', '▁the', '▁re', 'ception', '▁and', '▁dec', 'od', 'ing', '▁of', '▁the', '▁content', '▁of', '▁a', '▁message', '▁to', '<en>']"
"['<en>', '▁What', '▁endos', 'ymb', 'ion', 'ts', '[MASK]', '▁in', '▁coral', '?', '[MASK]', '</s>', '▁What', '▁organisms', '▁are', '▁described', '▁as', '▁living', '▁on', '▁the', '▁surface', '▁of', '▁wh', 'ales', '?', '[MASK]', '</s>', '▁Name', '▁a', '▁paras', 'it', 'ic', '▁e', 'ct', 'os', 'ymb']","['<en>', '▁What', '▁endos', 'ymb', 'ion', 'ts', '▁live', '▁in', '▁coral', '?', '▁', '</s>', '▁What', '▁organisms', '▁are', '▁described', '▁as', '▁living', '▁on', '▁the', '▁surface', '▁of', '▁wh', 'ales', '?', '▁', '</s>', '▁Name', '▁a', '▁paras', 'it', 'ic', '▁e', 'ct', 'os', 'ymb']","['▁What', '▁endos', 'ymb', 'ion', 'ts', '▁live', '▁in', '▁coral', '?', '▁', '</s>', '▁What', '▁organisms', '▁are', '▁described', '▁as', '▁living', '▁on', '▁the', '▁surface', '▁of', '▁wh', 'ales', '?', '▁', '</s>', '▁Name', '▁a', '▁paras', 'it', 'ic', '▁e', 'ct', 'os', 'ymb', '<en>']"
"['<en>', '[MASK]', '▁does', '▁conserv', 'at', '[MASK]', '▁have', '▁in', '▁common', '▁with', '▁classical', '▁liberal', '[MASK]', '?', '[MASK]', '</s>', '[MASK]', '▁was', '▁Hayek', ""'"", 's', '▁statement', '▁regarding', '▁conserv', 'at', '[MASK]', '?', '[MASK]', '</s>', '[MASK]', '▁did', '▁Hayek', '▁suggest', '▁as', '▁an', '▁alternative']","['<en>', '▁What', '▁does', '▁conserv', 'at', 'ism', '▁have', '▁in', '▁common', '▁with', '▁classical', '▁liberal', 'ism', '?', '▁', '</s>', '▁What', '▁was', '▁Hayek', ""'"", 's', '▁statement', '▁regarding', '▁conserv', 'at', 'ism', '?', '▁', '</s>', '▁What', '▁did', '▁Hayek', '▁suggest', '▁as', '▁an', '▁alternative']","['▁What', '▁does', '▁conserv', 'at', 'ism', '▁have', '▁in', '▁common', '▁with', '▁classical', '▁liberal', 'ism', '?', '▁', '</s>', '▁What', '▁was', '▁Hayek', ""'"", 's', '▁statement', '▁regarding', '▁conserv', 'at', 'ism', '?', '▁', '</s>', '▁What', '▁did', '▁Hayek', '▁suggest', '▁as', '▁an', '▁alternative', '<en>']"
"['<en>', '[MASK]', '▁many', '▁people', '▁were', '▁killed', '▁in', '▁the', '▁violence', '?', '▁', '</s>', '[MASK]', 'LO', '▁supported', '▁who', '▁during', '▁the', '▁G', 'ulf', '▁War', '?', '▁', '</s>', '▁Who', '▁became', '▁the', '▁Prime', '▁Minister', '▁in', '[MASK]', '▁', '</s>', '▁When', '▁was', '▁the']","['<en>', '▁How', '▁many', '▁people', '▁were', '▁killed', '▁in', '▁the', '▁violence', '?', '▁', '</s>', '▁P', 'LO', '▁supported', '▁who', '▁during', '▁the', '▁G', 'ulf', '▁War', '?', '▁', '</s>', '▁Who', '▁became', '▁the', '▁Prime', '▁Minister', '▁in', '▁1992?', '▁', '</s>', '▁When', '▁was', '▁the']","['▁How', '▁many', '▁people', '▁were', '▁killed', '▁in', '▁the', '▁violence', '?', '▁', '</s>', '▁P', 'LO', '▁supported', '▁who', '▁during', '▁the', '▁G', 'ulf', '▁War', '?', '▁', '</s>', '▁Who', '▁became', '▁the', '▁Prime', '▁Minister', '▁in', '▁1992?', '▁', '</s>', '▁When', '▁was', '▁the', '<en>']"
