encoder_input,decoder_input,decoder_output
"['<ja>', '▁', 'タ', 'チア', 'ナ', 'は', 'コ', 'メ', 'ヤ', 'ンの', '体の', 'どこを', '噛', 'み', 'つ', 'いた', 'の', '?', '▁', '</s>', '▁サン', 'フランシ', 'スコ', '動物', '園', 'の', '園', '長', 'は誰', 'だったの', '?', '▁', '</s>', '[MASK]', 'メ', 'ヤ']","['<ja>', '▁', 'タ', 'チア', 'ナ', 'は', 'コ', 'メ', 'ヤ', 'ンの', '体の', 'どこを', '噛', 'み', 'つ', 'いた', 'の', '?', '▁', '</s>', '▁サン', 'フランシ', 'スコ', '動物', '園', 'の', '園', '長', 'は誰', 'だったの', '?', '▁', '</s>', '▁コ', 'メ', 'ヤ']","['▁', 'タ', 'チア', 'ナ', 'は', 'コ', 'メ', 'ヤ', 'ンの', '体の', 'どこを', '噛', 'み', 'つ', 'いた', 'の', '?', '▁', '</s>', '▁サン', 'フランシ', 'スコ', '動物', '園', 'の', '園', '長', 'は誰', 'だったの', '?', '▁', '</s>', '▁コ', 'メ', 'ヤ', '<ja>']"
"['<ja>', '▁今', '日の', 'エスト', '[MASK]', 'に', '残', 'された', '言語', '問題', 'は', 'の大', '部分', 'は何', '語', 'に関', '係', 'していますか', '。', '[MASK]', '</s>', '▁「', '全', '定', '住', '者', 'のうち', '過', '半', '数の', '使用', 'する', '言語', '[MASK]', 'エスト', '[MASK]']","['<ja>', '▁今', '日の', 'エスト', 'ニア', 'に', '残', 'された', '言語', '問題', 'は', 'の大', '部分', 'は何', '語', 'に関', '係', 'していますか', '。', '▁', '</s>', '▁「', '全', '定', '住', '者', 'のうち', '過', '半', '数の', '使用', 'する', '言語', 'が', 'エスト', 'ニア']","['▁今', '日の', 'エスト', 'ニア', 'に', '残', 'された', '言語', '問題', 'は', 'の大', '部分', 'は何', '語', 'に関', '係', 'していますか', '。', '▁', '</s>', '▁「', '全', '定', '住', '者', 'のうち', '過', '半', '数の', '使用', 'する', '言語', 'が', 'エスト', 'ニア', '<ja>']"
"['<ja>', '▁2018', '年の時点で', 'テ', 'ロ', '事件', 'を', '除', 'く', '航空', '事故', 'の', 'なか', 'で', 'アメリカ', '航空', '史上', '最大の', '犠牲者', '数', '[MASK]', 'した', '事故', 'とは', '、', '[MASK]', '?', '▁', '</s>', '▁', '事故', 'の', 'きっかけとなった', '操作', 'とは', '、']","['<ja>', '▁2018', '年の時点で', 'テ', 'ロ', '事件', 'を', '除', 'く', '航空', '事故', 'の', 'なか', 'で', 'アメリカ', '航空', '史上', '最大の', '犠牲者', '数', 'を出', 'した', '事故', 'とは', '、', '何か', '?', '▁', '</s>', '▁', '事故', 'の', 'きっかけとなった', '操作', 'とは', '、']","['▁2018', '年の時点で', 'テ', 'ロ', '事件', 'を', '除', 'く', '航空', '事故', 'の', 'なか', 'で', 'アメリカ', '航空', '史上', '最大の', '犠牲者', '数', 'を出', 'した', '事故', 'とは', '、', '何か', '?', '▁', '</s>', '▁', '事故', 'の', 'きっかけとなった', '操作', 'とは', '、', '<ja>']"
"['<ja>', '▁', 'ファー', 'スト', '[MASK]', 'リ', 'ット', '・', 'タ', 'ワー', 'は', '、', '何年に', '国家', '歴史', '[MASK]', '財', '[MASK]', '[MASK]', 'されたか', '。', '▁', '</s>', '▁ド', 'ナルド', '・', '[MASK]', 'ラス', 'ケ', 'リック', 'は何年', '間', '市長', '[MASK]', 'か', '。']","['<ja>', '▁', 'ファー', 'スト', 'メ', 'リ', 'ット', '・', 'タ', 'ワー', 'は', '、', '何年に', '国家', '歴史', '登録', '財', 'に', '登録', 'されたか', '。', '▁', '</s>', '▁ド', 'ナルド', '・', 'プ', 'ラス', 'ケ', 'リック', 'は何年', '間', '市長', 'を務めた', 'か', '。']","['▁', 'ファー', 'スト', 'メ', 'リ', 'ット', '・', 'タ', 'ワー', 'は', '、', '何年に', '国家', '歴史', '登録', '財', 'に', '登録', 'されたか', '。', '▁', '</s>', '▁ド', 'ナルド', '・', 'プ', 'ラス', 'ケ', 'リック', 'は何年', '間', '市長', 'を務めた', 'か', '。', '<ja>']"
"['<ja>', '▁', '頼', '印', '自', 'ら', 'が', '榛', '名', '湖', 'を', '訪', 'れ', '、', '雨', '乞', 'い', '信仰', 'の地', 'として', '記述', 'した', '書物', 'は何ですか', '?', '▁', '</s>', '▁', '関', '東', '一', '[MASK]', 'の', '村', 'の', '代表']","['<ja>', '▁', '頼', '印', '自', 'ら', 'が', '榛', '名', '湖', 'を', '訪', 'れ', '、', '雨', '乞', 'い', '信仰', 'の地', 'として', '記述', 'した', '書物', 'は何ですか', '?', '▁', '</s>', '▁', '関', '東', '一', '帯', 'の', '村', 'の', '代表']","['▁', '頼', '印', '自', 'ら', 'が', '榛', '名', '湖', 'を', '訪', 'れ', '、', '雨', '乞', 'い', '信仰', 'の地', 'として', '記述', 'した', '書物', 'は何ですか', '?', '▁', '</s>', '▁', '関', '東', '一', '帯', 'の', '村', 'の', '代表', '<ja>']"
"['<ja>', '[MASK]', '年に', 'ヨーロッパ', 'の', '連合', '軍', 'はどの国', 'に', '[MASK]', 'したか', '?', '▁', '</s>', '▁ヨーロッパ', 'の', '連合', '[MASK]', 'フランス', 'に', '[MASK]', 'したのは', '、', 'いつか', '?', '▁', '</s>', '▁ソ連', '[MASK]', 'ドイツの', '東', '部', '国境', 'に', '迫', 'ったのは']","['<ja>', '▁1944', '年に', 'ヨーロッパ', 'の', '連合', '軍', 'はどの国', 'に', '上陸', 'したか', '?', '▁', '</s>', '▁ヨーロッパ', 'の', '連合', '軍が', 'フランス', 'に', '上陸', 'したのは', '、', 'いつか', '?', '▁', '</s>', '▁ソ連', '軍が', 'ドイツの', '東', '部', '国境', 'に', '迫', 'ったのは']","['▁1944', '年に', 'ヨーロッパ', 'の', '連合', '軍', 'はどの国', 'に', '上陸', 'したか', '?', '▁', '</s>', '▁ヨーロッパ', 'の', '連合', '軍が', 'フランス', 'に', '上陸', 'したのは', '、', 'いつか', '?', '▁', '</s>', '▁ソ連', '軍が', 'ドイツの', '東', '部', '国境', 'に', '迫', 'ったのは', '<ja>']"
"['<ja>', '▁', '杉', '森', '信', '盛', 'が', '[MASK]', 'ところ', 'はどこ', 'なの', '?', '▁', '</s>', '▁『', '世', '継', '曽', '[MASK]', '』', 'を書いた', '人は誰', 'なの', '?', '▁', '</s>', '[MASK]', '松', 'の', '浄', '瑠', '璃', '作品', 'の', '第一', '作']","['<ja>', '▁', '杉', '森', '信', '盛', 'が', '生まれた', 'ところ', 'はどこ', 'なの', '?', '▁', '</s>', '▁『', '世', '継', '曽', '我', '』', 'を書いた', '人は誰', 'なの', '?', '▁', '</s>', '▁近', '松', 'の', '浄', '瑠', '璃', '作品', 'の', '第一', '作']","['▁', '杉', '森', '信', '盛', 'が', '生まれた', 'ところ', 'はどこ', 'なの', '?', '▁', '</s>', '▁『', '世', '継', '曽', '我', '』', 'を書いた', '人は誰', 'なの', '?', '▁', '</s>', '▁近', '松', 'の', '浄', '瑠', '璃', '作品', 'の', '第一', '作', '<ja>']"
"['<ja>', '▁', '豊', '田', '市立', '図書館', 'は', 'その', '建築', 'ス', 'タイ', 'ル', 'が', '評価', 'され', '何の', '賞を受賞', 'しましたか', '[MASK]', '▁', '</s>', '▁「', 'ひ', 'ま', 'わり', '号', '」', 'の', '運', '行', 'が', 'スタ', 'ート', 'したのはいつですか', '[MASK]', '▁']","['<ja>', '▁', '豊', '田', '市立', '図書館', 'は', 'その', '建築', 'ス', 'タイ', 'ル', 'が', '評価', 'され', '何の', '賞を受賞', 'しましたか', '?', '▁', '</s>', '▁「', 'ひ', 'ま', 'わり', '号', '」', 'の', '運', '行', 'が', 'スタ', 'ート', 'したのはいつですか', '?', '▁']","['▁', '豊', '田', '市立', '図書館', 'は', 'その', '建築', 'ス', 'タイ', 'ル', 'が', '評価', 'され', '何の', '賞を受賞', 'しましたか', '?', '▁', '</s>', '▁「', 'ひ', 'ま', 'わり', '号', '」', 'の', '運', '行', 'が', 'スタ', 'ート', 'したのはいつですか', '?', '▁', '<ja>']"
"['<ja>', '▁1939', '[MASK]', '9', '月', '3', '日に', 'ドイツに', '宣戦布告', 'をした', '[MASK]', '、', 'イギリスのほかに', '、', 'どの国があるのか', '?', '▁', '</s>', '▁イギリス', 'のほかに', '、19', '39', '[MASK]', '9', '月', '3', '日に', 'ドイツに', '宣戦布告を', '[MASK]', '、', 'どの国か', '?', '▁', '</s>', '▁1939']","['<ja>', '▁1939', '年', '9', '月', '3', '日に', 'ドイツに', '宣戦布告', 'をした', '国には', '、', 'イギリスのほかに', '、', 'どの国があるのか', '?', '▁', '</s>', '▁イギリス', 'のほかに', '、19', '39', '年', '9', '月', '3', '日に', 'ドイツに', '宣戦布告を', 'した国は', '、', 'どの国か', '?', '▁', '</s>', '▁1939']","['▁1939', '年', '9', '月', '3', '日に', 'ドイツに', '宣戦布告', 'をした', '国には', '、', 'イギリスのほかに', '、', 'どの国があるのか', '?', '▁', '</s>', '▁イギリス', 'のほかに', '、19', '39', '年', '9', '月', '3', '日に', 'ドイツに', '宣戦布告を', 'した国は', '、', 'どの国か', '?', '▁', '</s>', '▁1939', '<ja>']"
"['<ja>', '[MASK]', 'お', '笑', 'い', '芸', '人', 'の中で', '、「', 'い', 'かに', 'ユ', 'ニー', '[MASK]', 'な', 'キャ', 'ラ', 'を', '立て', 'る', 'か', '」', 'が', '重要', '視', 'される', 'ようになったのは', 'いつから', '?', '[MASK]', '[MASK]', '▁アイ', 'ド', 'ルの', '分野', 'でも']","['<ja>', '▁', 'お', '笑', 'い', '芸', '人', 'の中で', '、「', 'い', 'かに', 'ユ', 'ニー', 'ク', 'な', 'キャ', 'ラ', 'を', '立て', 'る', 'か', '」', 'が', '重要', '視', 'される', 'ようになったのは', 'いつから', '?', '▁', '</s>', '▁アイ', 'ド', 'ルの', '分野', 'でも']","['▁', 'お', '笑', 'い', '芸', '人', 'の中で', '、「', 'い', 'かに', 'ユ', 'ニー', 'ク', 'な', 'キャ', 'ラ', 'を', '立て', 'る', 'か', '」', 'が', '重要', '視', 'される', 'ようになったのは', 'いつから', '?', '▁', '</s>', '▁アイ', 'ド', 'ルの', '分野', 'でも', '<ja>']"
