encoder_input,decoder_input,decoder_output
"['<es>', '▁De', '▁qué', '▁país', '▁fue', '▁import', 'ado', '▁el', '[MASK]', '[MASK]', '[MASK]', '?', '▁', '</s>', '▁Se', '▁pensó', '▁que', '[MASK]', '[MASK]', '[MASK]', '[MASK]', 'z', 'uli', '▁era', '▁más', '▁v', 'ali', 'oso', '▁que', '▁el', '▁metal', '▁pre', 'ci', 'oso', '?', '▁']","['<es>', '▁De', '▁qué', '▁país', '▁fue', '▁import', 'ado', '▁el', '▁la', 'p', 'is', '?', '▁', '</s>', '▁Se', '▁pensó', '▁que', '▁la', 'p', 'is', '▁la', 'z', 'uli', '▁era', '▁más', '▁v', 'ali', 'oso', '▁que', '▁el', '▁metal', '▁pre', 'ci', 'oso', '?', '▁']","['▁De', '▁qué', '▁país', '▁fue', '▁import', 'ado', '▁el', '▁la', 'p', 'is', '?', '▁', '</s>', '▁Se', '▁pensó', '▁que', '▁la', 'p', 'is', '▁la', 'z', 'uli', '▁era', '▁más', '▁v', 'ali', 'oso', '▁que', '▁el', '▁metal', '▁pre', 'ci', 'oso', '?', '▁', '<es>']"
"['<es>', '▁Cuál', '▁fue', '[MASK]', '▁cast', 'igo', '▁por', '▁la', '▁pérdida', '▁de', '▁la', '▁cast', 'idad', '▁de', '[MASK]', '▁vest', '[MASK]', '?', '▁', '[MASK]', '▁Qué', '▁era', '[MASK]', '▁vest', '[MASK]', '▁que', '▁se', '▁esperaba', '▁que', '[MASK]', '▁a', '▁sus', '▁deber', 'es', '?', '▁']","['<es>', '▁Cuál', '▁fue', '▁el', '▁cast', 'igo', '▁por', '▁la', '▁pérdida', '▁de', '▁la', '▁cast', 'idad', '▁de', '▁una', '▁vest', 'ales', '?', '▁', '</s>', '▁Qué', '▁era', '▁una', '▁vest', 'ales', '▁que', '▁se', '▁esperaba', '▁que', '▁fuera', '▁a', '▁sus', '▁deber', 'es', '?', '▁']","['▁Cuál', '▁fue', '▁el', '▁cast', 'igo', '▁por', '▁la', '▁pérdida', '▁de', '▁la', '▁cast', 'idad', '▁de', '▁una', '▁vest', 'ales', '?', '▁', '</s>', '▁Qué', '▁era', '▁una', '▁vest', 'ales', '▁que', '▁se', '▁esperaba', '▁que', '▁fuera', '▁a', '▁sus', '▁deber', 'es', '?', '▁', '<es>']"
"['<es>', '▁Cuál', '[MASK]', '▁el', '▁papel', '[MASK]', '[MASK]', 'ór', 'te', 'x', '▁whe', '▁que', '▁se', '▁refiere', '▁a', '▁la', '[MASK]', '?', '▁', '</s>', '▁En', '▁los', '▁estudios', '▁qué', '[MASK]', '▁una', '[MASK]', '▁entre', '▁dorm', 'ir', '▁y', '▁apr', 'ender', '?', '▁', '</s>']","['<es>', '▁Cuál', '▁es', '▁el', '▁papel', '▁del', '▁neoc', 'ór', 'te', 'x', '▁whe', '▁que', '▁se', '▁refiere', '▁a', '▁la', '▁memoria', '?', '▁', '</s>', '▁En', '▁los', '▁estudios', '▁qué', '▁es', '▁una', '▁relación', '▁entre', '▁dorm', 'ir', '▁y', '▁apr', 'ender', '?', '▁', '</s>']","['▁Cuál', '▁es', '▁el', '▁papel', '▁del', '▁neoc', 'ór', 'te', 'x', '▁whe', '▁que', '▁se', '▁refiere', '▁a', '▁la', '▁memoria', '?', '▁', '</s>', '▁En', '▁los', '▁estudios', '▁qué', '▁es', '▁una', '▁relación', '▁entre', '▁dorm', 'ir', '▁y', '▁apr', 'ender', '?', '▁', '</s>', '<es>']"
"['<es>', '▁Cuál', '▁es', '[MASK]', '[MASK]', '▁del', '▁famoso', '[MASK]', '[MASK]', '▁en', '▁California', '?', '▁', '</s>', '▁Cuál', '▁es', '[MASK]', '[MASK]', '▁del', '▁famoso', '[MASK]', '[MASK]', '▁en', '▁or', 'eg', '[MASK]', '?', '▁', '</s>', '▁Cuáles', '[MASK]', '▁las', '▁bajas', '▁gam', 'as', '▁de']","['<es>', '▁Cuál', '▁es', '▁el', '▁nombre', '▁del', '▁famoso', '▁valle', '▁ubicado', '▁en', '▁California', '?', '▁', '</s>', '▁Cuál', '▁es', '▁el', '▁nombre', '▁del', '▁famoso', '▁valle', '▁ubicado', '▁en', '▁or', 'eg', 'on', '?', '▁', '</s>', '▁Cuáles', '▁son', '▁las', '▁bajas', '▁gam', 'as', '▁de']","['▁Cuál', '▁es', '▁el', '▁nombre', '▁del', '▁famoso', '▁valle', '▁ubicado', '▁en', '▁California', '?', '▁', '</s>', '▁Cuál', '▁es', '▁el', '▁nombre', '▁del', '▁famoso', '▁valle', '▁ubicado', '▁en', '▁or', 'eg', 'on', '?', '▁', '</s>', '▁Cuáles', '▁son', '▁las', '▁bajas', '▁gam', 'as', '▁de', '<es>']"
"['<es>', '▁Cuál', '▁es', '▁otro', '▁ejemplo', '▁de', '▁un', '▁formato', '▁sin', '▁pérdida', '▁que', '[MASK]', '▁sea', '▁Apple', '▁sin', '▁pérd', 'idas', '?', '▁', '</s>', '▁Para', '▁qué', '▁está', '▁parado', '▁fla', 'c', '?', '▁', '</s>', '▁De', '▁qué', '▁ciudad', '▁se', '▁originó', '▁la', '▁música']","['<es>', '▁Cuál', '▁es', '▁otro', '▁ejemplo', '▁de', '▁un', '▁formato', '▁sin', '▁pérdida', '▁que', '▁no', '▁sea', '▁Apple', '▁sin', '▁pérd', 'idas', '?', '▁', '</s>', '▁Para', '▁qué', '▁está', '▁parado', '▁fla', 'c', '?', '▁', '</s>', '▁De', '▁qué', '▁ciudad', '▁se', '▁originó', '▁la', '▁música']","['▁Cuál', '▁es', '▁otro', '▁ejemplo', '▁de', '▁un', '▁formato', '▁sin', '▁pérdida', '▁que', '▁no', '▁sea', '▁Apple', '▁sin', '▁pérd', 'idas', '?', '▁', '</s>', '▁Para', '▁qué', '▁está', '▁parado', '▁fla', 'c', '?', '▁', '</s>', '▁De', '▁qué', '▁ciudad', '▁se', '▁originó', '▁la', '▁música', '<es>']"
"['<es>', '▁En', '▁qué', '[MASK]', '▁no', '▁había', '[MASK]', '▁comerciantes', '[MASK]', '▁pal', 'agi', '▁en', '▁tuvalu', '?', '▁', '</s>', '▁Cuál', '▁es', '▁el', '▁término', '▁para', '▁el', '▁gerente', '[MASK]', '▁carga', '[MASK]', '▁un', '▁barco', '?', '▁', '</s>', '[MASK]', '[MASK]', 'gar', '▁ro', 'bert']","['<es>', '▁En', '▁qué', '▁año', '▁no', '▁había', '▁más', '▁comerciantes', '▁de', '▁pal', 'agi', '▁en', '▁tuvalu', '?', '▁', '</s>', '▁Cuál', '▁es', '▁el', '▁término', '▁para', '▁el', '▁gerente', '▁de', '▁carga', '▁de', '▁un', '▁barco', '?', '▁', '</s>', '▁Cuándo', '▁nave', 'gar', '▁ro', 'bert']","['▁En', '▁qué', '▁año', '▁no', '▁había', '▁más', '▁comerciantes', '▁de', '▁pal', 'agi', '▁en', '▁tuvalu', '?', '▁', '</s>', '▁Cuál', '▁es', '▁el', '▁término', '▁para', '▁el', '▁gerente', '▁de', '▁carga', '▁de', '▁un', '▁barco', '?', '▁', '</s>', '▁Cuándo', '▁nave', 'gar', '▁ro', 'bert', '<es>']"
"['<es>', '▁Qué', '▁hizo', '▁el', '▁gobierno', '[MASK]', '▁det', 'uvo', '▁las', '▁reform', 'as', '?', '▁', '[MASK]', '[MASK]', '▁fueron', '▁los', '▁más', '▁reci', 'entes', '▁disturb', 'ios', '▁tibet', 'anos', '?', '▁', '[MASK]', '▁Para', '▁qué', '▁han', '▁sido', '▁critic', 'ados', '▁los', '▁Beijing', '▁de']","['<es>', '▁Qué', '▁hizo', '▁el', '▁gobierno', '▁cuando', '▁det', 'uvo', '▁las', '▁reform', 'as', '?', '▁', '</s>', '▁Cuándo', '▁fueron', '▁los', '▁más', '▁reci', 'entes', '▁disturb', 'ios', '▁tibet', 'anos', '?', '▁', '</s>', '▁Para', '▁qué', '▁han', '▁sido', '▁critic', 'ados', '▁los', '▁Beijing', '▁de']","['▁Qué', '▁hizo', '▁el', '▁gobierno', '▁cuando', '▁det', 'uvo', '▁las', '▁reform', 'as', '?', '▁', '</s>', '▁Cuándo', '▁fueron', '▁los', '▁más', '▁reci', 'entes', '▁disturb', 'ios', '▁tibet', 'anos', '?', '▁', '</s>', '▁Para', '▁qué', '▁han', '▁sido', '▁critic', 'ados', '▁los', '▁Beijing', '▁de', '<es>']"
"['<es>', '▁Qué', '▁fue', '▁invent', 'ado', '▁en', '[MASK]', '▁dinastía', '▁de', '[MASK]', '▁primeros', '▁de', '[MASK]', '▁pequeña', '▁foc', 'a', '?', '▁', '</s>', '▁Se', '▁utilizaron', '▁múltiples', '▁gu', 'iones', '▁durante', '▁el', '▁período', '▁de', '▁han', '?', '▁', '</s>', '▁Cuál', '▁fue', '▁uno', '▁de']","['<es>', '▁Qué', '▁fue', '▁invent', 'ado', '▁en', '▁la', '▁dinastía', '▁de', '▁los', '▁primeros', '▁de', '▁la', '▁pequeña', '▁foc', 'a', '?', '▁', '</s>', '▁Se', '▁utilizaron', '▁múltiples', '▁gu', 'iones', '▁durante', '▁el', '▁período', '▁de', '▁han', '?', '▁', '</s>', '▁Cuál', '▁fue', '▁uno', '▁de']","['▁Qué', '▁fue', '▁invent', 'ado', '▁en', '▁la', '▁dinastía', '▁de', '▁los', '▁primeros', '▁de', '▁la', '▁pequeña', '▁foc', 'a', '?', '▁', '</s>', '▁Se', '▁utilizaron', '▁múltiples', '▁gu', 'iones', '▁durante', '▁el', '▁período', '▁de', '▁han', '?', '▁', '</s>', '▁Cuál', '▁fue', '▁uno', '▁de', '<es>']"
"['<es>', '▁En', '▁qué', '▁p', 'iso', '▁se', '▁ab', 'ren', '▁las', '▁puert', 'as', '▁en', '▁el', '▁camino', '▁hacia', '▁ab', 'ajo', '?', '▁', '[MASK]', '[MASK]', '▁es', '▁el', '▁nombre', '[MASK]', '▁la', '[MASK]', 'cción', '▁del', '▁ascensor', '▁en', '▁los', '▁parques', '▁mundiales', '[MASK]', '▁dis']","['<es>', '▁En', '▁qué', '▁p', 'iso', '▁se', '▁ab', 'ren', '▁las', '▁puert', 'as', '▁en', '▁el', '▁camino', '▁hacia', '▁ab', 'ajo', '?', '▁', '</s>', '▁Cuál', '▁es', '▁el', '▁nombre', '▁de', '▁la', '▁atra', 'cción', '▁del', '▁ascensor', '▁en', '▁los', '▁parques', '▁mundiales', '▁de', '▁dis']","['▁En', '▁qué', '▁p', 'iso', '▁se', '▁ab', 'ren', '▁las', '▁puert', 'as', '▁en', '▁el', '▁camino', '▁hacia', '▁ab', 'ajo', '?', '▁', '</s>', '▁Cuál', '▁es', '▁el', '▁nombre', '▁de', '▁la', '▁atra', 'cción', '▁del', '▁ascensor', '▁en', '▁los', '▁parques', '▁mundiales', '▁de', '▁dis', '<es>']"
"['<es>', '▁Mach', '▁argumentó', '▁que', '▁el', '▁impuls', 'o', '[MASK]', '▁un', '▁objeto', '▁existe', '▁como', '▁resultado', '[MASK]', '▁la', '▁sum', 'a', '[MASK]', '▁los', '▁efectos', '[MASK]', '▁qué', '?', '▁', '</s>', '▁L', 'bert', '▁Einstein', '▁propuso', '▁que', '▁las', '▁leyes', '[MASK]', '▁la', '▁física', '[MASK]']","['<es>', '▁Mach', '▁argumentó', '▁que', '▁el', '▁impuls', 'o', '▁de', '▁un', '▁objeto', '▁existe', '▁como', '▁resultado', '▁de', '▁la', '▁sum', 'a', '▁de', '▁los', '▁efectos', '▁de', '▁qué', '?', '▁', '</s>', '▁L', 'bert', '▁Einstein', '▁propuso', '▁que', '▁las', '▁leyes', '▁de', '▁la', '▁física', '▁deben']","['▁Mach', '▁argumentó', '▁que', '▁el', '▁impuls', 'o', '▁de', '▁un', '▁objeto', '▁existe', '▁como', '▁resultado', '▁de', '▁la', '▁sum', 'a', '▁de', '▁los', '▁efectos', '▁de', '▁qué', '?', '▁', '</s>', '▁L', 'bert', '▁Einstein', '▁propuso', '▁que', '▁las', '▁leyes', '▁de', '▁la', '▁física', '▁deben', '<es>']"
