encoder_input,decoder_input,decoder_output
"['<th>', 'ราชนิพนธ์', 'ลําดับ', 'ที่เท่าไร', '[MASK]', 'กีฬา', 'เยาวชน', 'แห่งชาติ', 'ของไทย', '▁ครั้งที่', '▁1', '▁จัดขึ้น', 'ที่', 'จังหวัดใด', '[MASK]', 'กีฬา', 'เยาวชน', 'แห่งชาติ', 'ของไทย', '▁ครั้งที่', '▁1', '▁มี', 'การแข่งขันกีฬา', 'ทั้งหมดกี่', 'ประเภท', '▁ชาว', 'อเมริกัน', 'ชื่อว่า', '▁จอห์น', '▁แ', 'น', 'ช', '[MASK]', 'โนเบล', 'สาขา', 'ใด']","['<th>', 'ราชนิพนธ์', 'ลําดับ', 'ที่เท่าไร', '▁การแข่งขัน', 'กีฬา', 'เยาวชน', 'แห่งชาติ', 'ของไทย', '▁ครั้งที่', '▁1', '▁จัดขึ้น', 'ที่', 'จังหวัดใด', '▁การแข่งขัน', 'กีฬา', 'เยาวชน', 'แห่งชาติ', 'ของไทย', '▁ครั้งที่', '▁1', '▁มี', 'การแข่งขันกีฬา', 'ทั้งหมดกี่', 'ประเภท', '▁ชาว', 'อเมริกัน', 'ชื่อว่า', '▁จอห์น', '▁แ', 'น', 'ช', '▁ได้รับรางวัล', 'โนเบล', 'สาขา', 'ใด']","['ราชนิพนธ์', 'ลําดับ', 'ที่เท่าไร', '▁การแข่งขัน', 'กีฬา', 'เยาวชน', 'แห่งชาติ', 'ของไทย', '▁ครั้งที่', '▁1', '▁จัดขึ้น', 'ที่', 'จังหวัดใด', '▁การแข่งขัน', 'กีฬา', 'เยาวชน', 'แห่งชาติ', 'ของไทย', '▁ครั้งที่', '▁1', '▁มี', 'การแข่งขันกีฬา', 'ทั้งหมดกี่', 'ประเภท', '▁ชาว', 'อเมริกัน', 'ชื่อว่า', '▁จอห์น', '▁แ', 'น', 'ช', '▁ได้รับรางวัล', 'โนเบล', 'สาขา', 'ใด', '<th>']"
"['<th>', '[MASK]', 'ยง', '[MASK]', 'คือ', 'วันอะไร', '▁บริษัท', '▁เอ็น', 'ซี', '▁', '[MASK]', 'ู', '▁จํากัด', '▁เป็นผู้', '[MASK]', 'ด้านใด', '▁เกม', 'อะไรที่', 'บริษัท', '▁เอ็น', 'ซี', '▁', '[MASK]', 'ู', '▁จํากัด', '▁ได้', 'เปิด', '[MASK]', '[MASK]', 'ตั้งแต่', 'เดือน', 'ธ', 'ันวาคม', '▁254', '7', '▁พระ']","['<th>', 'นม', 'ยง', 'ค์', 'คือ', 'วันอะไร', '▁บริษัท', '▁เอ็น', 'ซี', '▁', 'ทร', 'ู', '▁จํากัด', '▁เป็นผู้', 'ให้บริการ', 'ด้านใด', '▁เกม', 'อะไรที่', 'บริษัท', '▁เอ็น', 'ซี', '▁', 'ทร', 'ู', '▁จํากัด', '▁ได้', 'เปิด', 'ให้บริการ', 'ในประเทศไทย', 'ตั้งแต่', 'เดือน', 'ธ', 'ันวาคม', '▁254', '7', '▁พระ']","['นม', 'ยง', 'ค์', 'คือ', 'วันอะไร', '▁บริษัท', '▁เอ็น', 'ซี', '▁', 'ทร', 'ู', '▁จํากัด', '▁เป็นผู้', 'ให้บริการ', 'ด้านใด', '▁เกม', 'อะไรที่', 'บริษัท', '▁เอ็น', 'ซี', '▁', 'ทร', 'ู', '▁จํากัด', '▁ได้', 'เปิด', 'ให้บริการ', 'ในประเทศไทย', 'ตั้งแต่', 'เดือน', 'ธ', 'ันวาคม', '▁254', '7', '▁พระ', '<th>']"
"['<th>', 'ประกอบ', 'พี่น้อง', 'สอง', 'เสือ', 'ภาค', 'ต้น', 'ฉบับ', '▁C', 'andy', '▁bar', '▁ที่', 'ชื่อ', 'ขึ้น', 'ต้น', 'ด้วย', 'อักษร', '▁T', '▁คืออะไร', '▁ครั้งสุดท้ายที่', 'เบ', 'ง', 'ก', 'อล', 'ส์', '[MASK]', 'เพลย์', 'ออฟ', 'คือ', '[MASK]', '▁ภาพยนตร์', '▁s', 'add', 'le', '▁the', '▁wind']","['<th>', 'ประกอบ', 'พี่น้อง', 'สอง', 'เสือ', 'ภาค', 'ต้น', 'ฉบับ', '▁C', 'andy', '▁bar', '▁ที่', 'ชื่อ', 'ขึ้น', 'ต้น', 'ด้วย', 'อักษร', '▁T', '▁คืออะไร', '▁ครั้งสุดท้ายที่', 'เบ', 'ง', 'ก', 'อล', 'ส์', 'อยู่ใน', 'เพลย์', 'ออฟ', 'คือ', 'เมื่อไหร่', '▁ภาพยนตร์', '▁s', 'add', 'le', '▁the', '▁wind']","['ประกอบ', 'พี่น้อง', 'สอง', 'เสือ', 'ภาค', 'ต้น', 'ฉบับ', '▁C', 'andy', '▁bar', '▁ที่', 'ชื่อ', 'ขึ้น', 'ต้น', 'ด้วย', 'อักษร', '▁T', '▁คืออะไร', '▁ครั้งสุดท้ายที่', 'เบ', 'ง', 'ก', 'อล', 'ส์', 'อยู่ใน', 'เพลย์', 'ออฟ', 'คือ', 'เมื่อไหร่', '▁ภาพยนตร์', '▁s', 'add', 'le', '▁the', '▁wind', '<th>']"
"['<th>', '่', '▁ภาค', '▁2', '▁มีความหมาย', 'ว่าอะไร', '▁ใครคือผู้', 'กํากับ', 'การแสดง', 'ภาพยนตร์เรื่อง', '[MASK]', '[MASK]', '▁เดอะ', '[MASK]', '▁ภาพยนตร์เรื่อง', '[MASK]', '[MASK]', '▁เดอะ', '[MASK]', '▁เป็น', 'เรื่องราว', '[MASK]', 'วัย', 'รุ่น', 'หนุ่ม', 'สาว', 'จาก', 'ภาคใด', '[MASK]', '▁ผู้', 'แต่ง', 'การ์ตูน', 'ญี่ปุ่นเรื่อง', '▁""', 'เรีย', 'ว']","['<th>', '่', '▁ภาค', '▁2', '▁มีความหมาย', 'ว่าอะไร', '▁ใครคือผู้', 'กํากับ', 'การแสดง', 'ภาพยนตร์เรื่อง', 'ไท', 'บ้าน', '▁เดอะ', 'ซีรีส์', '▁ภาพยนตร์เรื่อง', 'ไท', 'บ้าน', '▁เดอะ', 'ซีรีส์', '▁เป็น', 'เรื่องราว', 'ของ', 'วัย', 'รุ่น', 'หนุ่ม', 'สาว', 'จาก', 'ภาคใด', 'ของประเทศไทย', '▁ผู้', 'แต่ง', 'การ์ตูน', 'ญี่ปุ่นเรื่อง', '▁""', 'เรีย', 'ว']","['่', '▁ภาค', '▁2', '▁มีความหมาย', 'ว่าอะไร', '▁ใครคือผู้', 'กํากับ', 'การแสดง', 'ภาพยนตร์เรื่อง', 'ไท', 'บ้าน', '▁เดอะ', 'ซีรีส์', '▁ภาพยนตร์เรื่อง', 'ไท', 'บ้าน', '▁เดอะ', 'ซีรีส์', '▁เป็น', 'เรื่องราว', 'ของ', 'วัย', 'รุ่น', 'หนุ่ม', 'สาว', 'จาก', 'ภาคใด', 'ของประเทศไทย', '▁ผู้', 'แต่ง', 'การ์ตูน', 'ญี่ปุ่นเรื่อง', '▁""', 'เรีย', 'ว', '<th>']"
"['<th>', '▁ใครร้อง', '▁quit', '▁playing', '▁games', '▁with', '▁my', '▁heart', '▁ชื่อของ', '▁the', '▁r', 'ca', '▁victor', '▁dog', '▁คืออะไร', '▁คน', 'อาย', 'ุน', '้อย', 'ที่สุด', 'ที่มี', 'ลูก', 'คือใคร', '[MASK]', 'ใน', '▁the', '▁j', 'ung', 'le', '▁book', '[MASK]', '[MASK]', '▁หม', 'ู', '▁pig', 'let']","['<th>', '▁ใครร้อง', '▁quit', '▁playing', '▁games', '▁with', '▁my', '▁heart', '▁ชื่อของ', '▁the', '▁r', 'ca', '▁victor', '▁dog', '▁คืออะไร', '▁คน', 'อาย', 'ุน', '้อย', 'ที่สุด', 'ที่มี', 'ลูก', 'คือใคร', '▁ตัวละคร', 'ใน', '▁the', '▁j', 'ung', 'le', '▁book', '▁มีใคร', 'บ้าง', '▁หม', 'ู', '▁pig', 'let']","['▁ใครร้อง', '▁quit', '▁playing', '▁games', '▁with', '▁my', '▁heart', '▁ชื่อของ', '▁the', '▁r', 'ca', '▁victor', '▁dog', '▁คืออะไร', '▁คน', 'อาย', 'ุน', '้อย', 'ที่สุด', 'ที่มี', 'ลูก', 'คือใคร', '▁ตัวละคร', 'ใน', '▁the', '▁j', 'ung', 'le', '▁book', '▁มีใคร', 'บ้าง', '▁หม', 'ู', '▁pig', 'let', '<th>']"
"['<th>', 'เพลง', 'แร', '็ป', '[MASK]', 'วงดนตรี', 'มีชื่อว่าอะไร', '▁ม', 'าร์ก', '▁', 'วา', 'ห์', 'ล', 'เบิร์ก', '[MASK]', 'ที่ไหน', '▁พระราช', 'ธ', 'ิดาของ', 'เจ้า', 'จอม', 'มาร', 'ดาว', 'ง', 'มีพระนาม', 'ว่าอะไร', '▁พระราช', 'ธ', 'ิดาของ', 'เจ้า', 'จอม', 'มาร', 'ดาว', 'ง', 'พระ', 'ชัน']","['<th>', 'เพลง', 'แร', '็ป', 'อยู่ใน', 'วงดนตรี', 'มีชื่อว่าอะไร', '▁ม', 'าร์ก', '▁', 'วา', 'ห์', 'ล', 'เบิร์ก', 'เกิด', 'ที่ไหน', '▁พระราช', 'ธ', 'ิดาของ', 'เจ้า', 'จอม', 'มาร', 'ดาว', 'ง', 'มีพระนาม', 'ว่าอะไร', '▁พระราช', 'ธ', 'ิดาของ', 'เจ้า', 'จอม', 'มาร', 'ดาว', 'ง', 'พระ', 'ชัน']","['เพลง', 'แร', '็ป', 'อยู่ใน', 'วงดนตรี', 'มีชื่อว่าอะไร', '▁ม', 'าร์ก', '▁', 'วา', 'ห์', 'ล', 'เบิร์ก', 'เกิด', 'ที่ไหน', '▁พระราช', 'ธ', 'ิดาของ', 'เจ้า', 'จอม', 'มาร', 'ดาว', 'ง', 'มีพระนาม', 'ว่าอะไร', '▁พระราช', 'ธ', 'ิดาของ', 'เจ้า', 'จอม', 'มาร', 'ดาว', 'ง', 'พระ', 'ชัน', '<th>']"
"['<th>', '[MASK]', 'ศ', '[MASK]', '▁25', '[MASK]', '▁ใครคือ', 'นายก', 'ของไทย', '[MASK]', '▁อ', 'ิส', 'รา', 'เอล', 'มี', 'เมืองหลวง', 'ชื่อว่าอะไร', '[MASK]', '▁โรงเรียน', 'ท', 'วี', 'ธา', 'ภิ', 'เศ', 'ก', '▁ก่อตั้งขึ้น', 'เมื่อใด', '[MASK]', '[MASK]', 'เอก', '[MASK]', 'รักษ์', '▁คํา', 'สิงห์', '▁เริ่ม', 'ชก']","['<th>', '.', 'ศ', '.', '▁25', '18', '▁ใครคือ', 'นายก', 'ของไทย', '▁?', '▁อ', 'ิส', 'รา', 'เอล', 'มี', 'เมืองหลวง', 'ชื่อว่าอะไร', '?', '▁โรงเรียน', 'ท', 'วี', 'ธา', 'ภิ', 'เศ', 'ก', '▁ก่อตั้งขึ้น', 'เมื่อใด', '▁?', '▁เรือ', 'เอก', '▁สม', 'รักษ์', '▁คํา', 'สิงห์', '▁เริ่ม', 'ชก']","['.', 'ศ', '.', '▁25', '18', '▁ใครคือ', 'นายก', 'ของไทย', '▁?', '▁อ', 'ิส', 'รา', 'เอล', 'มี', 'เมืองหลวง', 'ชื่อว่าอะไร', '?', '▁โรงเรียน', 'ท', 'วี', 'ธา', 'ภิ', 'เศ', 'ก', '▁ก่อตั้งขึ้น', 'เมื่อใด', '▁?', '▁เรือ', 'เอก', '▁สม', 'รักษ์', '▁คํา', 'สิงห์', '▁เริ่ม', 'ชก', '<th>']"
"['<th>', 'เลี้ยง', 'จาก', 'พระบาทสมเด็จพระ', '[MASK]', 'เกล้าเจ้าอยู่หัว', 'มีชื่อว่าอะไร', '[MASK]', 'ซ', 'ิง', 'หม', '่า', 'เป็น', 'สะพาน', 'ข้าม', 'ช่อง', '[MASK]', 'ที่', 'เชื่อม', 'ระหว่าง', 'เกาะ', 'ใดของ', 'ฮ่องกง', '▁ใคร', 'ได้รับการ', 'แต่งตั้ง', 'ให้', 'เป็นผู้', '[MASK]', 'ักษ', 'าก', 'ุ', 'ญ', 'แจ', 'และ', 'ประตู']","['<th>', 'เลี้ยง', 'จาก', 'พระบาทสมเด็จพระ', 'จุลจอม', 'เกล้าเจ้าอยู่หัว', 'มีชื่อว่าอะไร', '▁สะพาน', 'ซ', 'ิง', 'หม', '่า', 'เป็น', 'สะพาน', 'ข้าม', 'ช่อง', 'แคบ', 'ที่', 'เชื่อม', 'ระหว่าง', 'เกาะ', 'ใดของ', 'ฮ่องกง', '▁ใคร', 'ได้รับการ', 'แต่งตั้ง', 'ให้', 'เป็นผู้', 'ร', 'ักษ', 'าก', 'ุ', 'ญ', 'แจ', 'และ', 'ประตู']","['เลี้ยง', 'จาก', 'พระบาทสมเด็จพระ', 'จุลจอม', 'เกล้าเจ้าอยู่หัว', 'มีชื่อว่าอะไร', '▁สะพาน', 'ซ', 'ิง', 'หม', '่า', 'เป็น', 'สะพาน', 'ข้าม', 'ช่อง', 'แคบ', 'ที่', 'เชื่อม', 'ระหว่าง', 'เกาะ', 'ใดของ', 'ฮ่องกง', '▁ใคร', 'ได้รับการ', 'แต่งตั้ง', 'ให้', 'เป็นผู้', 'ร', 'ักษ', 'าก', 'ุ', 'ญ', 'แจ', 'และ', 'ประตู', '<th>']"
"['<th>', 'y', '▁ใน', '▁the', '▁good', '▁wife', '▁V', 'id', 'han', '▁Sab', 'ha', '[MASK]', 'ใหญ่', '[MASK]', 'อินเดีย', 'คือ', 'ที่ไหน', '▁b', 'ach', 'elor', '[MASK]', 'ใน', 'เซา', 'ท์', '[MASK]', 'ก', 'ทา', 'โฮ', 'เมื่อไหร่', '[MASK]', '▁2', '▁ของ', '▁green', 'house', '▁academ', 'y']","['<th>', 'y', '▁ใน', '▁the', '▁good', '▁wife', '▁V', 'id', 'han', '▁Sab', 'ha', '▁ที่', 'ใหญ่', 'ที่สุดใน', 'อินเดีย', 'คือ', 'ที่ไหน', '▁b', 'ach', 'elor', '▁ถ่ายทํา', 'ใน', 'เซา', 'ท์', 'เล', 'ก', 'ทา', 'โฮ', 'เมื่อไหร่', '▁ซีซั่น', '▁2', '▁ของ', '▁green', 'house', '▁academ', 'y']","['y', '▁ใน', '▁the', '▁good', '▁wife', '▁V', 'id', 'han', '▁Sab', 'ha', '▁ที่', 'ใหญ่', 'ที่สุดใน', 'อินเดีย', 'คือ', 'ที่ไหน', '▁b', 'ach', 'elor', '▁ถ่ายทํา', 'ใน', 'เซา', 'ท์', 'เล', 'ก', 'ทา', 'โฮ', 'เมื่อไหร่', '▁ซีซั่น', '▁2', '▁ของ', '▁green', 'house', '▁academ', 'y', '<th>']"
"['<th>', 'เม', 'เร', 'ซึ่ง', 'ต้อง', '[MASK]', 'ประหาร', '▁ได้', 'เขียน', 'จด', 'หมายถึง', 'ใคร', '▁?', '▁', 'ภาย', 'หลัง', 'มัก', 'ซี', '[MASK]', 'เล', 'ียง', '▁ร', 'อ', '[MASK]', '็', 'ส', 'ปี', 'แย', 'ร์', 'สู', 'ญ', '[MASK]', 'อํานาจ', 'ใน', 'วันที่', '▁?']","['<th>', 'เม', 'เร', 'ซึ่ง', 'ต้อง', 'โทษ', 'ประหาร', '▁ได้', 'เขียน', 'จด', 'หมายถึง', 'ใคร', '▁?', '▁', 'ภาย', 'หลัง', 'มัก', 'ซี', 'มี', 'เล', 'ียง', '▁ร', 'อ', 'แบ', '็', 'ส', 'ปี', 'แย', 'ร์', 'สู', 'ญ', 'สิ้น', 'อํานาจ', 'ใน', 'วันที่', '▁?']","['เม', 'เร', 'ซึ่ง', 'ต้อง', 'โทษ', 'ประหาร', '▁ได้', 'เขียน', 'จด', 'หมายถึง', 'ใคร', '▁?', '▁', 'ภาย', 'หลัง', 'มัก', 'ซี', 'มี', 'เล', 'ียง', '▁ร', 'อ', 'แบ', '็', 'ส', 'ปี', 'แย', 'ร์', 'สู', 'ญ', 'สิ้น', 'อํานาจ', 'ใน', 'วันที่', '▁?', '<th>']"
