encoder_input,decoder_input,decoder_output
"['<fr>', '▁Quel', '▁écrivain', '▁a', '▁dit', '▁que', '▁le', '▁SNES', '▁était', '▁la', '▁meilleure', '▁console', '▁jamais', '▁de', '▁n', ""'"", '[MASK]', '[MASK]', '▁quelle', '▁entreprise', '▁?', '[MASK]', '</s>', '▁Qui', '▁a', '▁dit', '▁que', '▁le', '▁SNES', '▁était', '▁«', '▁simp', 'lement', '▁le', '▁système', '▁le']","['<fr>', '▁Quel', '▁écrivain', '▁a', '▁dit', '▁que', '▁le', '▁SNES', '▁était', '▁la', '▁meilleure', '▁console', '▁jamais', '▁de', '▁n', ""'"", 'im', 'porte', '▁quelle', '▁entreprise', '▁?', '▁', '</s>', '▁Qui', '▁a', '▁dit', '▁que', '▁le', '▁SNES', '▁était', '▁«', '▁simp', 'lement', '▁le', '▁système', '▁le']","['▁Quel', '▁écrivain', '▁a', '▁dit', '▁que', '▁le', '▁SNES', '▁était', '▁la', '▁meilleure', '▁console', '▁jamais', '▁de', '▁n', ""'"", 'im', 'porte', '▁quelle', '▁entreprise', '▁?', '▁', '</s>', '▁Qui', '▁a', '▁dit', '▁que', '▁le', '▁SNES', '▁était', '▁«', '▁simp', 'lement', '▁le', '▁système', '▁le', '<fr>']"
"['<fr>', '▁Quel', '▁article', '▁à', '▁vendre', '▁en', '▁2000', '▁Seattle', '▁a', '▁été', '▁parmi', '▁les', '▁plus', '▁coûte', 'ux', '▁aux', '▁États', '-', 'Unis', '▁?', '▁', '</s>', '▁A', '▁quelle', '▁époque', '▁le', '▁big', '▁tech', '▁boom', '▁a', '-', 't', '-', 'il', '▁eu', '▁lieu']","['<fr>', '▁Quel', '▁article', '▁à', '▁vendre', '▁en', '▁2000', '▁Seattle', '▁a', '▁été', '▁parmi', '▁les', '▁plus', '▁coûte', 'ux', '▁aux', '▁États', '-', 'Unis', '▁?', '▁', '</s>', '▁A', '▁quelle', '▁époque', '▁le', '▁big', '▁tech', '▁boom', '▁a', '-', 't', '-', 'il', '▁eu', '▁lieu']","['▁Quel', '▁article', '▁à', '▁vendre', '▁en', '▁2000', '▁Seattle', '▁a', '▁été', '▁parmi', '▁les', '▁plus', '▁coûte', 'ux', '▁aux', '▁États', '-', 'Unis', '▁?', '▁', '</s>', '▁A', '▁quelle', '▁époque', '▁le', '▁big', '▁tech', '▁boom', '▁a', '-', 't', '-', 'il', '▁eu', '▁lieu', '<fr>']"
"['<fr>', '▁Quel', '▁tamb', 'our', '▁a', '▁un', '▁pas', '▁per', 'çu', '[MASK]', '▁élevé', '▁même', '▁s', ""'"", 'ils', '▁ont', '▁tous', '▁les', '[MASK]', '▁un', '▁pas', '▁ind', 'é', 'f', 'ini', '▁?', '▁', '</s>', '▁La', '▁rép', 'ét', 'ition', '▁est', '▁caus', 'ée', '▁par']","['<fr>', '▁Quel', '▁tamb', 'our', '▁a', '▁un', '▁pas', '▁per', 'çu', '▁plus', '▁élevé', '▁même', '▁s', ""'"", 'ils', '▁ont', '▁tous', '▁les', '▁deux', '▁un', '▁pas', '▁ind', 'é', 'f', 'ini', '▁?', '▁', '</s>', '▁La', '▁rép', 'ét', 'ition', '▁est', '▁caus', 'ée', '▁par']","['▁Quel', '▁tamb', 'our', '▁a', '▁un', '▁pas', '▁per', 'çu', '▁plus', '▁élevé', '▁même', '▁s', ""'"", 'ils', '▁ont', '▁tous', '▁les', '▁deux', '▁un', '▁pas', '▁ind', 'é', 'f', 'ini', '▁?', '▁', '</s>', '▁La', '▁rép', 'ét', 'ition', '▁est', '▁caus', 'ée', '▁par', '<fr>']"
"['<fr>', '[MASK]', '▁principale', '▁contrib', 'ution', '▁de', '▁Nag', '[MASK]', '[MASK]', 'una', '▁était', '▁l', ""'"", 'exposition', '▁du', '▁concept', '▁de', '▁quoi', '▁?', '▁', '</s>', '▁Que', '▁signifie', '▁sun', 'y', 'ata', '▁?', '▁', '</s>', '▁Nag', '[MASK]', '[MASK]', 'una', '▁dit', '▁que', '▁les']","['<fr>', '▁La', '▁principale', '▁contrib', 'ution', '▁de', '▁Nag', 'ar', 'j', 'una', '▁était', '▁l', ""'"", 'exposition', '▁du', '▁concept', '▁de', '▁quoi', '▁?', '▁', '</s>', '▁Que', '▁signifie', '▁sun', 'y', 'ata', '▁?', '▁', '</s>', '▁Nag', 'ar', 'j', 'una', '▁dit', '▁que', '▁les']","['▁La', '▁principale', '▁contrib', 'ution', '▁de', '▁Nag', 'ar', 'j', 'una', '▁était', '▁l', ""'"", 'exposition', '▁du', '▁concept', '▁de', '▁quoi', '▁?', '▁', '</s>', '▁Que', '▁signifie', '▁sun', 'y', 'ata', '▁?', '▁', '</s>', '▁Nag', 'ar', 'j', 'una', '▁dit', '▁que', '▁les', '<fr>']"
"['<fr>', '▁Dans', '[MASK]', 'ins', 'e', 'ys', '▁esp', 'rit', '▁quel', '▁pourcentage', '▁de', '[MASK]', '▁sont', '▁considérées', '▁comme', '[MASK]', '▁h', '[MASK]', 'ros', '[MASK]', 'uelles', '▁ou', '▁homosex', 'uelles', '[MASK]', '▁', '</s>', '▁Pourquoi', '▁les', '▁gens', '▁dis', 'ent', '-', 'ils', '▁que', '▁le']","['<fr>', '▁Dans', '▁K', 'ins', 'e', 'ys', '▁esp', 'rit', '▁quel', '▁pourcentage', '▁de', '▁personnes', '▁sont', '▁considérées', '▁comme', '▁entièrement', '▁h', 'été', 'ros', 'ex', 'uelles', '▁ou', '▁homosex', 'uelles', '▁?', '▁', '</s>', '▁Pourquoi', '▁les', '▁gens', '▁dis', 'ent', '-', 'ils', '▁que', '▁le']","['▁Dans', '▁K', 'ins', 'e', 'ys', '▁esp', 'rit', '▁quel', '▁pourcentage', '▁de', '▁personnes', '▁sont', '▁considérées', '▁comme', '▁entièrement', '▁h', 'été', 'ros', 'ex', 'uelles', '▁ou', '▁homosex', 'uelles', '▁?', '▁', '</s>', '▁Pourquoi', '▁les', '▁gens', '▁dis', 'ent', '-', 'ils', '▁que', '▁le', '<fr>']"
"['<fr>', '▁Dur', 'ant', '▁la', '▁période', '▁1951', '-19', '5', '7,', '▁combien', '▁de', '▁nouvelles', '▁maisons', '[MASK]', '▁été', '▁construites', '▁chaque', '▁année', '▁à', '▁Plymouth', '▁?', '▁', '</s>', '[MASK]', '▁l', '[MASK]', 'après', '-', 'guer', 're', '▁jusqu', '[MASK]', '[MASK]', '▁1964', ',', '▁combien']","['<fr>', '▁Dur', 'ant', '▁la', '▁période', '▁1951', '-19', '5', '7,', '▁combien', '▁de', '▁nouvelles', '▁maisons', '▁ont', '▁été', '▁construites', '▁chaque', '▁année', '▁à', '▁Plymouth', '▁?', '▁', '</s>', '▁Dans', '▁l', ""'"", 'après', '-', 'guer', 're', '▁jusqu', ""'"", 'en', '▁1964', ',', '▁combien']","['▁Dur', 'ant', '▁la', '▁période', '▁1951', '-19', '5', '7,', '▁combien', '▁de', '▁nouvelles', '▁maisons', '▁ont', '▁été', '▁construites', '▁chaque', '▁année', '▁à', '▁Plymouth', '▁?', '▁', '</s>', '▁Dans', '▁l', ""'"", 'après', '-', 'guer', 're', '▁jusqu', ""'"", 'en', '▁1964', ',', '▁combien', '<fr>']"
"['<fr>', '▁Comment', '▁l', '[MASK]', 'aut', 'rich', 'ien', '▁Marshall', '▁Da', 'un', '▁a', '-', 't', '-', 'il', '▁invers', 'é', '▁la', '▁situation', '▁à', '▁Prag', 'ue', '▁?', '▁', '</s>', '▁Qu', '[MASK]', 'est', '-', 'ce', '▁qui', '▁a', '▁conduit', '▁à', '▁la', '▁défaite']","['<fr>', '▁Comment', '▁l', ""'"", 'aut', 'rich', 'ien', '▁Marshall', '▁Da', 'un', '▁a', '-', 't', '-', 'il', '▁invers', 'é', '▁la', '▁situation', '▁à', '▁Prag', 'ue', '▁?', '▁', '</s>', '▁Qu', ""'"", 'est', '-', 'ce', '▁qui', '▁a', '▁conduit', '▁à', '▁la', '▁défaite']","['▁Comment', '▁l', ""'"", 'aut', 'rich', 'ien', '▁Marshall', '▁Da', 'un', '▁a', '-', 't', '-', 'il', '▁invers', 'é', '▁la', '▁situation', '▁à', '▁Prag', 'ue', '▁?', '▁', '</s>', '▁Qu', ""'"", 'est', '-', 'ce', '▁qui', '▁a', '▁conduit', '▁à', '▁la', '▁défaite', '<fr>']"
"['<fr>', '▁Quand', '▁Tom', '▁Rick', '[MASK]', '▁et', '▁C', 'rane', '▁K', 'enne', 'y', '▁ont', '-', 'ils', '▁dé', 'vo', '[MASK]', 'é', '▁leurs', '[MASK]', '▁pour', '▁une', '▁r', '[MASK]', 'ov', 'ation', '▁fin', 'anc', 'ée', '▁sur', '▁cinq', '▁ans', '▁de', '▁Wrigley', '▁Field', '▁?']","['<fr>', '▁Quand', '▁Tom', '▁Rick', 'etts', '▁et', '▁C', 'rane', '▁K', 'enne', 'y', '▁ont', '-', 'ils', '▁dé', 'vo', 'il', 'é', '▁leurs', '▁plans', '▁pour', '▁une', '▁r', 'én', 'ov', 'ation', '▁fin', 'anc', 'ée', '▁sur', '▁cinq', '▁ans', '▁de', '▁Wrigley', '▁Field', '▁?']","['▁Quand', '▁Tom', '▁Rick', 'etts', '▁et', '▁C', 'rane', '▁K', 'enne', 'y', '▁ont', '-', 'ils', '▁dé', 'vo', 'il', 'é', '▁leurs', '▁plans', '▁pour', '▁une', '▁r', 'én', 'ov', 'ation', '▁fin', 'anc', 'ée', '▁sur', '▁cinq', '▁ans', '▁de', '▁Wrigley', '▁Field', '▁?', '<fr>']"
"['<fr>', '▁Qui', '[MASK]', '▁écrit', '▁la', '▁musique', '▁pour', '▁""', 'I', 'nto', '[MASK]', '▁West', '""', '▁?', '▁', '</s>', '[MASK]', '▁""', 'The', '▁Pacific', '""', '[MASK]', '-', 't', '-', 'il', '▁été', '▁publié', '▁?', '▁', '</s>', '▁Combien', '▁coûte', '▁""', 'The', '▁Pacific']","['<fr>', '▁Qui', '▁a', '▁écrit', '▁la', '▁musique', '▁pour', '▁""', 'I', 'nto', '▁the', '▁West', '""', '▁?', '▁', '</s>', '▁Quand', '▁""', 'The', '▁Pacific', '""', '▁a', '-', 't', '-', 'il', '▁été', '▁publié', '▁?', '▁', '</s>', '▁Combien', '▁coûte', '▁""', 'The', '▁Pacific']","['▁Qui', '▁a', '▁écrit', '▁la', '▁musique', '▁pour', '▁""', 'I', 'nto', '▁the', '▁West', '""', '▁?', '▁', '</s>', '▁Quand', '▁""', 'The', '▁Pacific', '""', '▁a', '-', 't', '-', 'il', '▁été', '▁publié', '▁?', '▁', '</s>', '▁Combien', '▁coûte', '▁""', 'The', '▁Pacific', '<fr>']"
"['<fr>', '▁Quel', '[MASK]', '▁le', '▁type', '▁de', '[MASK]', 'iens', '[MASK]', '▁monar', 'ques', '▁hellén', 'istiques', '[MASK]', '▁', '</s>', '▁Qui', '▁était', '▁le', '▁petit', '▁no', 'y', 'au', '▁dans', '▁les', '▁États', '▁hellén', 'istiques', '[MASK]', ""'"", 'Asie', '▁et', '[MASK]', ""'"", 'Égypte', '[MASK]']","['<fr>', '▁Quel', '▁est', '▁le', '▁type', '▁de', '▁b', 'iens', '▁des', '▁monar', 'ques', '▁hellén', 'istiques', '▁?', '▁', '</s>', '▁Qui', '▁était', '▁le', '▁petit', '▁no', 'y', 'au', '▁dans', '▁les', '▁États', '▁hellén', 'istiques', '▁d', ""'"", 'Asie', '▁et', '▁d', ""'"", 'Égypte', '▁?']","['▁Quel', '▁est', '▁le', '▁type', '▁de', '▁b', 'iens', '▁des', '▁monar', 'ques', '▁hellén', 'istiques', '▁?', '▁', '</s>', '▁Qui', '▁était', '▁le', '▁petit', '▁no', 'y', 'au', '▁dans', '▁les', '▁États', '▁hellén', 'istiques', '▁d', ""'"", 'Asie', '▁et', '▁d', ""'"", 'Égypte', '▁?', '<fr>']"
"['<fr>', '▁Une', '▁connex', 'ion', '[MASK]', '▁est', '▁basée', '▁sur', '▁quoi', '[MASK]', '▁', '</s>', '▁A', '▁quoi', '▁sert', '▁un', '▁tu', '[MASK]', 'au', '▁nommé', '[MASK]', '▁', '</s>', '▁Où', '▁correspond', 'ent', '[MASK]', '▁tu', '[MASK]', 'aux', '[MASK]', '▁', '</s>', '▁Combien', '▁de', '▁param']","['<fr>', '▁Une', '▁connex', 'ion', '▁USB', '▁est', '▁basée', '▁sur', '▁quoi', '▁?', '▁', '</s>', '▁A', '▁quoi', '▁sert', '▁un', '▁tu', 'y', 'au', '▁nommé', '▁?', '▁', '</s>', '▁Où', '▁correspond', 'ent', '▁les', '▁tu', 'y', 'aux', '▁?', '▁', '</s>', '▁Combien', '▁de', '▁param']","['▁Une', '▁connex', 'ion', '▁USB', '▁est', '▁basée', '▁sur', '▁quoi', '▁?', '▁', '</s>', '▁A', '▁quoi', '▁sert', '▁un', '▁tu', 'y', 'au', '▁nommé', '▁?', '▁', '</s>', '▁Où', '▁correspond', 'ent', '▁les', '▁tu', 'y', 'aux', '▁?', '▁', '</s>', '▁Combien', '▁de', '▁param', '<fr>']"
