encoder_input,decoder_input,decoder_output
"['<zh>', '▁图林根', '音乐', '学院', '有多少', '[MASK]', '?', '▁', '[MASK]', '▁图林根', '州的', '公', '务', '员', '学院', '在哪里', '受', '限制', '?', '▁', '[MASK]', '[MASK]', '[MASK]', '不', '喜欢', '图林根', '音乐', '学院', '?', '▁', '[MASK]', '[MASK]', '学校', '禁止', '理工学院', '?']","['<zh>', '▁图林根', '音乐', '学院', '有多少', '学生', '?', '▁', '</s>', '▁图林根', '州的', '公', '务', '员', '学院', '在哪里', '受', '限制', '?', '▁', '</s>', '▁有多少', '学生', '不', '喜欢', '图林根', '音乐', '学院', '?', '▁', '</s>', '▁有多少', '学校', '禁止', '理工学院', '?']","['▁图林根', '音乐', '学院', '有多少', '学生', '?', '▁', '</s>', '▁图林根', '州的', '公', '务', '员', '学院', '在哪里', '受', '限制', '?', '▁', '</s>', '▁有多少', '学生', '不', '喜欢', '图林根', '音乐', '学院', '?', '▁', '</s>', '▁有多少', '学校', '禁止', '理工学院', '?', '<zh>']"
"['<zh>', '▁在', '修道院', '翻译', '的第一', '[MASK]', '?', '▁', '</s>', '▁上', '半', '[MASK]', '[MASK]', '也', '在', '修道院', '翻译', '?', '▁', '</s>', '▁旧', '的', '英国', '圣经', '是什么时候在', '修道院', '写', '成的', '?', '▁', '</s>', '▁威', '斯敏斯特', '教堂', '在', '190']","['<zh>', '▁在', '修道院', '翻译', '的第一', '部分', '?', '▁', '</s>', '▁上', '半', '部分', '内容', '也', '在', '修道院', '翻译', '?', '▁', '</s>', '▁旧', '的', '英国', '圣经', '是什么时候在', '修道院', '写', '成的', '?', '▁', '</s>', '▁威', '斯敏斯特', '教堂', '在', '190']","['▁在', '修道院', '翻译', '的第一', '部分', '?', '▁', '</s>', '▁上', '半', '部分', '内容', '也', '在', '修道院', '翻译', '?', '▁', '</s>', '▁旧', '的', '英国', '圣经', '是什么时候在', '修道院', '写', '成的', '?', '▁', '</s>', '▁威', '斯敏斯特', '教堂', '在', '190', '<zh>']"
"['<zh>', '▁拿破仑', '成功', '地', '发动', '了', '反', '目', '录', '[MASK]', '之后', ',', '他', '担任', '了什么', '政治', '职务', '?', '▁', '</s>', '▁', '赞成', '拿破仑', '宪法', '的', '票', '数', '是多少', '?', '▁', '</s>', '▁', '参加', '通过', '拿破仑', '宪法']","['<zh>', '▁拿破仑', '成功', '地', '发动', '了', '反', '目', '录', '政变', '之后', ',', '他', '担任', '了什么', '政治', '职务', '?', '▁', '</s>', '▁', '赞成', '拿破仑', '宪法', '的', '票', '数', '是多少', '?', '▁', '</s>', '▁', '参加', '通过', '拿破仑', '宪法']","['▁拿破仑', '成功', '地', '发动', '了', '反', '目', '录', '政变', '之后', ',', '他', '担任', '了什么', '政治', '职务', '?', '▁', '</s>', '▁', '赞成', '拿破仑', '宪法', '的', '票', '数', '是多少', '?', '▁', '</s>', '▁', '参加', '通过', '拿破仑', '宪法', '<zh>']"
"['<zh>', '▁什么', '实践', '证明', '对', '正统', '犹太教', '信徒', '是不', '[MASK]', '?', '▁', '[MASK]', '▁哪些', '社区', '发展', '缓', '慢', '?', '▁', '[MASK]', '▁谁', '估计', '犹太', '男子', '在', '[MASK]', '木', '德', '学校', '[MASK]', '的人', '数', '会', '减少', '?']","['<zh>', '▁什么', '实践', '证明', '对', '正统', '犹太教', '信徒', '是不', '成功的', '?', '▁', '</s>', '▁哪些', '社区', '发展', '缓', '慢', '?', '▁', '</s>', '▁谁', '估计', '犹太', '男子', '在', '塔', '木', '德', '学校', '学习', '的人', '数', '会', '减少', '?']","['▁什么', '实践', '证明', '对', '正统', '犹太教', '信徒', '是不', '成功的', '?', '▁', '</s>', '▁哪些', '社区', '发展', '缓', '慢', '?', '▁', '</s>', '▁谁', '估计', '犹太', '男子', '在', '塔', '木', '德', '学校', '学习', '的人', '数', '会', '减少', '?', '<zh>']"
"['<zh>', '[MASK]', '钾', '-', '[MASK]', '和', '[MASK]', ',', '什么', '元素', '的', '[MASK]', '变', '是', '驱动', '板', '块', '构', '造', '的主要', '冷', '源', '?', '[MASK]', '</s>', '▁地球', '的', '内', '[MASK]', '处', '[MASK]', '状态', '?', '[MASK]', '</s>', '▁地球']","['<zh>', '▁除了', '钾', '-', '40', '和', '铀', ',', '什么', '元素', '的', '衰', '变', '是', '驱动', '板', '块', '构', '造', '的主要', '冷', '源', '?', '▁', '</s>', '▁地球', '的', '内', '核', '处', '于什么', '状态', '?', '▁', '</s>', '▁地球']","['▁除了', '钾', '-', '40', '和', '铀', ',', '什么', '元素', '的', '衰', '变', '是', '驱动', '板', '块', '构', '造', '的主要', '冷', '源', '?', '▁', '</s>', '▁地球', '的', '内', '核', '处', '于什么', '状态', '?', '▁', '</s>', '▁地球', '<zh>']"
"['<zh>', '▁有多少', '种', '植物', '[MASK]', '▁', '</s>', '▁', '所有的', '植物', '都', '在哪里', '找到', '的', '[MASK]', '▁', '</s>', '[MASK]', '的', '[MASK]', '赔', '[MASK]', '哪年', '开始', '暂', '停', '[MASK]', '▁', '</s>', '[MASK]', '文件', '[MASK]', '了', '南极洲', '的地位', '[MASK]']","['<zh>', '▁有多少', '种', '植物', '?', '▁', '</s>', '▁', '所有的', '植物', '都', '在哪里', '找到', '的', '?', '▁', '</s>', '▁南极洲', '的', '索', '赔', '从', '哪年', '开始', '暂', '停', '?', '▁', '</s>', '▁什么', '文件', '规定', '了', '南极洲', '的地位', '?']","['▁有多少', '种', '植物', '?', '▁', '</s>', '▁', '所有的', '植物', '都', '在哪里', '找到', '的', '?', '▁', '</s>', '▁南极洲', '的', '索', '赔', '从', '哪年', '开始', '暂', '停', '?', '▁', '</s>', '▁什么', '文件', '规定', '了', '南极洲', '的地位', '?', '<zh>']"
"['<zh>', '▁i', 'Mac', '[MASK]', '取代了', '微软', '的大部分', '标准', '连接', '?', '[MASK]', '</s>', '▁i', 'Mac', '[MASK]', '替', '[MASK]', '了', '硬', '盘', '驱动', '[MASK]', '?', '[MASK]', '</s>', '▁i', 'Mac', '需要', '使用什么', '来', '读', '[MASK]', 'CD', '或', '其他', '媒体']","['<zh>', '▁i', 'Mac', '用什么', '取代了', '微软', '的大部分', '标准', '连接', '?', '▁', '</s>', '▁i', 'Mac', '用什么', '替', '换', '了', '硬', '盘', '驱动', '器', '?', '▁', '</s>', '▁i', 'Mac', '需要', '使用什么', '来', '读', '取', 'CD', '或', '其他', '媒体']","['▁i', 'Mac', '用什么', '取代了', '微软', '的大部分', '标准', '连接', '?', '▁', '</s>', '▁i', 'Mac', '用什么', '替', '换', '了', '硬', '盘', '驱动', '器', '?', '▁', '</s>', '▁i', 'Mac', '需要', '使用什么', '来', '读', '取', 'CD', '或', '其他', '媒体', '<zh>']"
"['<zh>', '▁美国', '革命', '引起', '了什么', '事件', '?', '▁', '</s>', '▁177', '[MASK]', '-1', '78', '3', '年的', '武装', '[MASK]', '被称为什么', '?', '▁', '</s>', '▁美国', '革命', '是从哪里', '开始的', '?', '▁', '</s>', '▁177', '6', '年', '7', '月', '4', '日', '发行']","['<zh>', '▁美国', '革命', '引起', '了什么', '事件', '?', '▁', '</s>', '▁177', '5', '-1', '78', '3', '年的', '武装', '冲突', '被称为什么', '?', '▁', '</s>', '▁美国', '革命', '是从哪里', '开始的', '?', '▁', '</s>', '▁177', '6', '年', '7', '月', '4', '日', '发行']","['▁美国', '革命', '引起', '了什么', '事件', '?', '▁', '</s>', '▁177', '5', '-1', '78', '3', '年的', '武装', '冲突', '被称为什么', '?', '▁', '</s>', '▁美国', '革命', '是从哪里', '开始的', '?', '▁', '</s>', '▁177', '6', '年', '7', '月', '4', '日', '发行', '<zh>']"
"['<zh>', '▁乌', '克兰', '文化', '俱乐部', '在哪个城市', '举行', '了', '千', '[MASK]', '[MASK]', '典', '[MASK]', '▁', '[MASK]', '▁', '分', '散', '企', '图', '是在哪里', '进行的', '[MASK]', '▁', '[MASK]', '▁谁想', '阻止', '集', '会', '[MASK]', '▁', '[MASK]', '▁谁想', '破坏', '[MASK]', '典']","['<zh>', '▁乌', '克兰', '文化', '俱乐部', '在哪个城市', '举行', '了', '千', '年', '庆', '典', '?', '▁', '</s>', '▁', '分', '散', '企', '图', '是在哪里', '进行的', '?', '▁', '</s>', '▁谁想', '阻止', '集', '会', '?', '▁', '</s>', '▁谁想', '破坏', '庆', '典']","['▁乌', '克兰', '文化', '俱乐部', '在哪个城市', '举行', '了', '千', '年', '庆', '典', '?', '▁', '</s>', '▁', '分', '散', '企', '图', '是在哪里', '进行的', '?', '▁', '</s>', '▁谁想', '阻止', '集', '会', '?', '▁', '</s>', '▁谁想', '破坏', '庆', '典', '<zh>']"
"['<zh>', '▁有多少', '国家', '在', '2005', '生产', '浓', '缩', '[MASK]', '氧化', '物', '?', '▁', '</s>', '▁截至', '[MASK]', '5,', '哪个国家', '是', '最大的', '[MASK]', '氧化', '物', '生产', '国', '?', '▁', '</s>', '▁世界', '氧化', '[MASK]', '产量', '的', '百分比', '[MASK]', '阿']","['<zh>', '▁有多少', '国家', '在', '2005', '生产', '浓', '缩', '铀', '氧化', '物', '?', '▁', '</s>', '▁截至', '201', '5,', '哪个国家', '是', '最大的', '铀', '氧化', '物', '生产', '国', '?', '▁', '</s>', '▁世界', '氧化', '铀', '产量', '的', '百分比', '不是', '阿']","['▁有多少', '国家', '在', '2005', '生产', '浓', '缩', '铀', '氧化', '物', '?', '▁', '</s>', '▁截至', '201', '5,', '哪个国家', '是', '最大的', '铀', '氧化', '物', '生产', '国', '?', '▁', '</s>', '▁世界', '氧化', '铀', '产量', '的', '百分比', '不是', '阿', '<zh>']"
